coder_id,candidate_id,date,company,role,exclusion_reason,what_would_promote_it,evidence_system,evidence_id
alpha,meshy|unspecified|excl,2025-06-01,Meshy,unspecified,unresolvable_identity,A submission receipt naming employer and role dated inside the window.,gmail,197294f8d50e00cf
alpha,sbga|remote-outside-sales-rep|excl,2025-04-11,SBGA,Remote Outside Sales Rep,out_of_window,Nothing. Thread opens 2025-04-11 before 2025-06-01. In-window replies do not move the start date.,gmail,196270d68f2adaad
alpha,yc-work-at-a-startup|job-profile|excl,2025-07-18,Y Combinator Work at a Startup,unspecified,marketplace_profile,"A titled role submission receipt from workatastartup, not a profile-sharing notice.",gmail,1981de3198c10fd2
alpha,getcrate|openai-backend-software-engineer|excl,2025-06-21,OpenAI,Backend Software Engineer,unresolvable_identity,An OpenAI-domain or OpenAI ATS receipt. Sender is Jacob@getcrate.app claiming Umicas ATS.,gmail,19794f4f00396b15
alpha,getcrate|google-senior-swe-gemini|excl,2025-06-21,Google,Senior Software Engineer Gemini,unresolvable_identity,A Google-domain or Google ATS receipt. Sender is Jacob@getcrate.app.,gmail,197934f165cb9c11
alpha,getcrate|crate-software-engineering|excl,2025-06-23,Crate,Software Engineering,unresolvable_identity,An employer ATS receipt from a Crate careers domain.,gmail,1979aae8acdd4534
alpha,gong|unspecified|excl,2025-07-08,Gong.io,unspecified,unresolvable_identity,A dated thank-you-for-applying receipt. GDPR notice only.,gmail,197eb3b08adb3220
alpha,spot-ai|unspecified|excl,2025-07-26,Spot AI,unspecified,unresolvable_identity,A dated thank-you-for-applying receipt. GDPR notice only.,gmail,1984894435106b68
alpha,protecht|unspecified|excl,2025-07-17,Protecht,unspecified,recruiter_initiated,A submission receipt for a named Protecht role.,gmail,198175521d89f634
alpha,graph-one|unspecified|excl,2025-08-05,graph.one,unspecified,attempted_not_submitted,An ATS receipt the founder can see. Founder stated no application in their ATS.,gmail,1984d88bee15d217
alpha,leidos|software-engineer-iii-req16295|excl,2025-09-23,Leidos Systems,Software Engineer III REQ16295,unresolvable_identity,A Leidos or Leidos ATS submission receipt. Artifacts are Dover beehiiv interview/missing-info mail.,gmail,19977d1dfaaa5d09
alpha,dover-rippling|software-engineering-manager-banking|excl,2025-12-12,Rippling,"Software Engineering Manager, Banking",unresolvable_identity,A Rippling ATS submission receipt for this req. Sender is dover@mail.beehiiv.com.,gmail,19b146233d7f7833
alpha,apple-card|credit|excl,2025-09-12,Apple Card,unspecified,unresolvable_identity,Nothing for the employment census. Credit-product application.,gmail,1993d6b1bd912044
alpha,upstart|loan|excl,2025-09-19,Upstart,unspecified,unresolvable_identity,Nothing for the employment census. Credit-product marketing.,gmail,19962ebd0c8e0a19
alpha,mixmax|product-welcome|excl,2025-09-04,Mixmax,unspecified,unresolvable_identity,A Mixmax employment submission receipt. This thread is a product welcome with SENT replies.,gmail,19915c326a0ac33b
alpha,morph-data-strategies|unspecified|excl,2025-11-18,Morph Data Strategies,unspecified,consulting_prospect,A titled employment submission or a named job interview invite (not a product/partner meeting).,gcal,_60q30c1g60o30e1i60o4ac1g60rj8gpl88rj2c1h84s34h9g60s30c1g60o30c1g612k8h256l23adi66ks48gpg64o30c1g60o30c1g60o30c1g60o32c1g60o30c1g88q3egi36orjcd9i892k8c1k68s42g9n68p3ihhk8osjica270og
alpha,morphin|unspecified|excl,2026-08-09,Morphin,unspecified,consulting_prospect,A titled employment submission receipt. Calendar title Morphin with daniel@morphdatastrategies.com.,gcal,0ifkgi6p6fgqp3ng7v0koo08c8
alpha,agroknow|north-america-sales|excl,2025-11-25,Agroknow,North America Sales,unresolvable_identity,A thank-you-for-applying receipt. Artifact is thank you for your time and interest.,gmail,19aba7c991e83d06
alpha,micro1|ai-training-pilot|excl,2026-01-14,micro1,AI Training Pilot Project,marketplace_profile,A named-client employment submission receipt. Artifact is profile submitted to an unnamed client.,gmail,19bbd5c1dc792315
alpha,micro1|unspecified-interview|excl,2026-01-12,micro1,unspecified,unresolvable_identity,A named employer and role plus a submission receipt. Great-work-on-your-interview then unnamed client review.,gmail,19bb104f9bba99a6
alpha,micro1|finance-expert|excl,2026-01-21,micro1,Finance Expert,recruiter_initiated,A submission receipt for Finance Expert at a named client.,gmail,19bdf90e1b30ffa0
alpha,micro1|certified-expert-pool|excl,2026-06-05,micro1,"Certified Expert Pool, ChatGPT AI training project",marketplace_profile,A titled role submission to a named employer.,gmail,19e9866ed62fb9b9
