coder_id,candidate_id,date,company,role,exclusion_reason,what_would_promote_it,evidence_system,evidence_id
cursor,meshy-interview-prewindow,2025-06-01,Meshy,unspecified,out_of_window,A submission receipt dated on or after 2025-06-01,gmail,gth_8fa8bbcc79f30307
cursor,graph-one-not-in-ats,2025-07-27,graph.one,unspecified,attempted_not_submitted,An ATS receipt the founder can see,gmail,gth_130b96eacec9f065
cursor,beckhoff-incomplete-first,2025-08-07,Beckhoff Automation,Sales Engineer,attempted_not_submitted,Superseded by 2025-08-08 completed rejection thanking him for applying,gmail,gth_c4c43ebac6543f68
cursor,gwinnett-started-expired,2026-06-08,Gwinnett County Public Schools,unspecified,attempted_not_submitted,AppliTrack submission confirmation,gmail,gth_2032ad4875645a59
cursor,dekalb-general-expired,2026-07-23,DeKalb County School District,unspecified,attempted_not_submitted,Already have position-level filled notices as applications. General file confirmation would still help,gmail,gth_32be8996b8ef0914
cursor,gwinnett-expire-warning,2026-07-04,Gwinnett County Public Schools,unspecified,attempted_not_submitted,Submission confirmation,gmail,gth_11a583cffff742fb
cursor,sbga-prewindow,2025-04-11,SBGA,Remote Outside Sales Rep,out_of_window,A submission inside 2025-06-01 to 2026-08-29,gmail,gth_c689e114e0941fe1
cursor,umicas-openai,2025-06-21,getcrate.app / Umicas,OpenAI Backend Software Engineer,unresolvable_identity,Employer-domain confirmation from OpenAI,gmail,gth_dabc46cd132a51bf
cursor,umicas-google,2025-06-21,getcrate.app / Umicas,Google Senior Software Engineer Gemini,unresolvable_identity,Employer-domain confirmation from Google,gmail,gth_3770b36755228c64
cursor,crate-missing-materials,2025-06-23,Crate,Software Engineering,unresolvable_identity,Employer-domain receipt,gmail,gth_73b9f98c99a2ac43
cursor,pinterest-referral-pm,2025-06-30,Pinterest,"Product Manager II, Search",attempted_not_submitted,Submission confirmation. Referral accept said application may still be unsubmitted,gmail,gth_e9eb93833f5ab340
cursor,pinterest-referral-apr,2025-06-28,Pinterest,Apprentice Product Researcher,attempted_not_submitted,Submission confirmation,gmail,gth_ac4c278fe3c7ffbb
cursor,gong-gdpr,2025-07-08,Gong.io,unspecified,unresolvable_identity,Dated submission receipt,gmail,gth_a9bc41cdfddf6b61
cursor,spot-ai-gdpr,2025-07-26,Spot AI,unspecified,unresolvable_identity,Dated submission receipt,gmail,gth_07fb922f7018f5b8
cursor,new-relic-retention,2026-03-28,New Relic,unspecified,unresolvable_identity,Dated submission receipt,gmail,gth_99e82290d8b26754
cursor,celonis-retention,2026-04-02,Celonis,unspecified,unresolvable_identity,Dated submission receipt,gmail,gth_3d703a46e1412abb
cursor,saveurdays-unnamed,2026-04-11,unknown,unspecified,unresolvable_identity,Named employer and role plus submission language,gmail,gth_515966939c6fbad4
cursor,mixmax-welcome,2025-09-04,Mixmax,unspecified,marketplace_profile,An employment application receipt. Product welcome is not an application,gmail,gth_beb7124e93244a82
cursor,apple-card,2025-09-12,Apple Card,unspecified,marketplace_profile,Not employment,gmail,gth_3fe2a9bc11c39212
