coder_id,application_id,cycle,company_canonical,company_as_listed,underlying_employer,role_as_listed,role_lane,gtm_modifier,date_applied,date_precision,date_capture,date_evidence_anchor,discovery_source,submission_channel,ats_system,evidence_tier,evidence_class,register,terminal_outcome,terminal_outcome_date,terminal_outcome_precision,location,work_type,level_as_listed,salary_range_listed,confidence,notes,match_status,parent_id,parent_register,parent_evidence_class,candidate_parent_ids
freeze2,verkada|enterprise-solutions-engineer-greater-atlanta-area|c1,1,Verkada,Verkada,,"Enterprise Solutions Engineer, Greater Atlanta Area",sales_solutions_engineering,,2026-02-04,exact,2026-08-23,,linkedin,unknown,none_observed,C,platform_log,application,,,,,unstated,,not_stated,medium,"LinkedIn Job Applications export, job id 4287210385, file Job Applications_5.csv. Exact application date. Export generated 2026-08-23; later activity is not in it. Also listed on linkedin (2026-08-29).",overlap,verkada|enterprise-solutions-engineer-atlanta|c1,application,employer_artifact,
freeze2,pandadoc|gtm-engineer|c1,1,PandaDoc,PandaDoc,,GTM Engineer,explicit_gtm_engineering,plain,2026-03-30,exact,2026-08-23,,linkedin,unknown,none_observed,C,platform_log,application,,,,,unstated,,not_stated,medium,"LinkedIn Job Applications export, job id 4369211319, file Job Applications_5.csv. Exact application date. Export generated 2026-08-23; later activity is not in it.",overlap,pandadoc|gtm-engineer|c1,application,employer_artifact,
freeze2,gigs|solutions-engineer|c1,1,Gigs,Gigs,,Solutions Engineer,sales_solutions_engineering,,2025-06-30,exact,2026-08-23,,linkedin,unknown,none_observed,C,platform_log,application,,,,,unstated,,not_stated,medium,"LinkedIn Job Applications export, job id 4256302106, file Job Applications_5.csv. Exact application date. Export generated 2026-08-23; later activity is not in it.",overlap,gigs|unspecified|c1,application,employer_artifact,
freeze2,applause|enterprise-sdr|c1,1,Applause,Applause,,Enterprise SDR,sales_bd_partnerships,,2025-07-07,exact,2026-08-23,,linkedin,unknown,none_observed,C,platform_log,application,,,,,unstated,,not_stated,medium,"LinkedIn Job Applications export, job id 4226839920, file Job Applications_5.csv. Exact application date. Export generated 2026-08-23; later activity is not in it.",overlap,applause|enterprise-sdr|c1,application,employer_artifact,
freeze2,proteantecs|sales-development-representative|c1,1,proteanTecs,proteanTecs,,Sales Development Representative,other,,2025-08-04,exact,2026-08-23,,linkedin,unknown,none_observed,C,platform_log,application,,,,,unstated,,not_stated,medium,"LinkedIn Job Applications export, job id 4279583412, file Job Applications_5.csv. Exact application date. Export generated 2026-08-23; later activity is not in it.",overlap,proteantecs|sdr|c1,application,employer_artifact,
freeze2,disqo|gtm-engineer|c1,1,DISQO,DISQO,,GTM Engineer,explicit_gtm_engineering,plain,2026-03-27,exact,2026-08-23,,linkedin,unknown,none_observed,C,platform_log,application,,,,,unstated,,not_stated,medium,"LinkedIn Job Applications export, job id 4385292987, file Job Applications_5.csv. Exact application date. Export generated 2026-08-23; later activity is not in it. Also listed on linkedin (2026-08-29).",overlap,disqo|gtm-engineer|c1,application,employer_artifact,
freeze2,auctane|pre-sales-engineer-atlanta|c1,1,Auctane,Auctane,,Pre-Sales Engineer - Atlanta,sales_solutions_engineering,,2026-04-10,exact,2026-08-23,,linkedin,unknown,none_observed,C,platform_log,application,,,,,unstated,,not_stated,medium,"LinkedIn Job Applications export, job id 4362136934, file Job Applications_6.csv. Exact application date. Export generated 2026-08-23; later activity is not in it. Also listed on linkedin (2026-08-29).",overlap,auctane|pre-sales-engineer|c1,application,employer_artifact,
freeze2,talentpluto|go-to-market-engineer|c1,1,talentpluto,talentpluto,unknown,Go-to-Market Engineer,explicit_gtm_engineering,plain,2026-07-12,exact,2026-08-23,,linkedin,unknown,none_observed,C,platform_log,application,,,,,unstated,,not_stated,medium,"LinkedIn Job Applications export, job id 4438813846, file Job Applications_6.csv. Exact application date. Export generated 2026-08-23; later activity is not in it. Also listed on linkedin (2026-08-29).",overlap,talentpluto|go-to-market-engineer|c1,application,employer_artifact,
freeze2,adaptive6|sales-engineer|c1,1,Adaptive6,Adaptive6,,Sales Engineer,sales_solutions_engineering,,2026-06-04,exact,2026-08-23,,linkedin,unknown,none_observed,C,platform_log,application,,,,,unstated,,not_stated,medium,"LinkedIn Job Applications export, job id 4391888373, file Job Applications_6.csv. Exact application date. Export generated 2026-08-23; later activity is not in it. Also listed on linkedin (2026-08-29).",overlap,adaptive6|sales-engineer|c1,application,employer_artifact,
freeze2,uncapped|gtm-engineer|c1,1,Uncapped,Uncapped,,GTM Engineer,explicit_gtm_engineering,plain,2026-08-22,exact,2026-08-23,,linkedin,unknown,none_observed,C,platform_log,application,,,,,unstated,,not_stated,medium,"LinkedIn Job Applications export, job id 4453144912, file Job Applications_6.csv. Exact application date. Export generated 2026-08-23; later activity is not in it. Also listed on linkedin (2026-08-29).",overlap,uncapped|gtm-engineer|c1,application,employer_artifact,
freeze2,attentive|gtm-engineer|c1,1,Attentive,Attentive,,GTM Engineer,explicit_gtm_engineering,plain,2026-06-22,exact,2026-08-23,,linkedin,unknown,none_observed,C,platform_log,application,,,,,unstated,,not_stated,medium,"LinkedIn Job Applications export, job id 4389964157, file Job Applications_6.csv. Exact application date. Export generated 2026-08-23; later activity is not in it.",overlap_parent_ambiguous,,application,employer_artifact,attentive|gtm-engineer|c1;attentive|gtm-engineer|c2
freeze2,appgate|gtm-engineer|c1,1,AppGate,AppGate,,GTM Engineer,explicit_gtm_engineering,plain,2026-04-06,exact,2026-08-23,,linkedin,unknown,none_observed,C,platform_log,application,,,,,unstated,,not_stated,medium,"LinkedIn Job Applications export, job id 4393579449, file Job Applications_6.csv. Exact application date. Export generated 2026-08-23; later activity is not in it. Also listed on linkedin (2026-08-29).",overlap,appgate|gtm-engineer|c1,application,employer_artifact,
freeze2,huzzle|gtm-engineer|c1,1,Huzzle,Huzzle.com,,GTM Engineer,explicit_gtm_engineering,plain,2026-06-04,exact,2026-08-23,,linkedin,unknown,none_observed,C,platform_log,application,,,,,unstated,,not_stated,medium,"LinkedIn Job Applications export, job id 4422680810, file Job Applications_6.csv. Exact application date. Export generated 2026-08-23; later activity is not in it. Also listed on linkedin (2026-08-29).",overlap,huzzle|gtm-engineer|c1,application,employer_artifact,
freeze2,hartleyco|gtm-engineer|c1,1,HartleyCo,HartleyCo,,GTM Engineer,explicit_gtm_engineering,plain,2026-07-12,exact,2026-08-23,,linkedin,unknown,none_observed,C,platform_log,application,,,,,unstated,,not_stated,medium,"LinkedIn Job Applications export, job id 4433942058, file Job Applications_6.csv. Exact application date. Export generated 2026-08-23; later activity is not in it. Also listed on linkedin (2026-08-29).",overlap,hartleyco|founding-gtm|c1,application,employer_artifact,
freeze2,jobgether|gtm-engineer|c1,1,Jobgether,Jobgether,unknown,GTM Engineer,explicit_gtm_engineering,plain,2026-06-22,exact,2026-08-23,,linkedin,unknown,none_observed,C,platform_log,application,,,,,unstated,,not_stated,medium,"LinkedIn Job Applications export, job id 4427466730, file Job Applications_6.csv. Exact application date. Export generated 2026-08-23; later activity is not in it. Also listed on linkedin (2026-08-29).",overlap,jobgether|gtm-engineer|c1,application,employer_artifact,
freeze2,armada|ai-factory-value-engineer|c1,1,Armada,Armada,,"AI Factory, Value Engineer",sales_solutions_engineering,,2026-06-22,exact,2026-08-23,,linkedin,unknown,none_observed,C,platform_log,application,,,,,unstated,,not_stated,medium,"LinkedIn Job Applications export, job id 4420247062, file Job Applications_6.csv. Exact application date. Export generated 2026-08-23; later activity is not in it.",overlap,armada|ai-factory-value-engineer|c1,application,employer_artifact,
freeze2,talentpluto|gtm-engineer|c1,1,talentpluto,talentpluto,unknown,GTM Engineer,explicit_gtm_engineering,plain,2026-07-12,exact,2026-08-23,,linkedin,unknown,none_observed,C,platform_log,application,,,,,unstated,,not_stated,medium,"LinkedIn Job Applications export, job id 4434255520, file Job Applications_6.csv. Exact application date. Export generated 2026-08-23; later activity is not in it. Also listed on linkedin (2026-08-29).",overlap,talentpluto|go-to-market-engineer|c1,application,employer_artifact,
freeze2,wall-street-quants|marketing-gtm-engineer|c1,1,Wall Street Quants,Wall Street Quants,,Marketing / GTM Engineer,explicit_gtm_engineering,plain,2026-04-16,exact,2026-08-23,,linkedin,unknown,none_observed,C,platform_log,application,,,,,unstated,,not_stated,medium,"LinkedIn Job Applications export, job id 4402656770, file Job Applications_6.csv. Exact application date. Export generated 2026-08-23; later activity is not in it. Also listed on linkedin (2026-08-29).",overlap,wallstreetquants|unspecified|c1,application,employer_artifact,
freeze2,bx-studio|gtm-engineer|c1,1,BX Studio,BX Studio,,GTM Engineer,explicit_gtm_engineering,plain,2026-04-06,exact,2026-08-23,,linkedin,unknown,none_observed,C,platform_log,application,,,,,unstated,,not_stated,medium,"LinkedIn Job Applications export, job id 4396642778, file Job Applications_6.csv. Exact application date. Export generated 2026-08-23; later activity is not in it.",overlap,bx-studio|unspecified|c1,application,employer_artifact,
freeze2,jobright-ai|product-manager-entry-level|c1,1,Jobright.ai,Jobright.ai,,"Product Manager, Entry Level",product_ai_technical,,2026-05-26,exact,2026-08-23,,linkedin,unknown,none_observed,C,platform_log,application,,,,,unstated,,not_stated,medium,"LinkedIn Job Applications export, job id 4418256672, file Job Applications_6.csv. Exact application date. Export generated 2026-08-23; later activity is not in it. Also listed on linkedin (2026-08-29).",overlap,jobright-ai|product-manager-early-career|c1,application,platform_log,
freeze2,thomson-reuters|account-executive-tax-or-risk-products|c1,1,Thomson Reuters,Thomson Reuters,,"Account Executive, Tax or Risk Products",sales_bd_partnerships,,2026-01-02,exact,,,jobright,jobright_agent,none_observed,C,platform_log,application,,,,United States,remote,Mid Level,$136K/yr - $254K/yr,medium,Jobright tracker. Application Method Applied by Agent.,overlap,thomson-reuters|ae-tax-or-risk|c1,application,employer_artifact,
freeze2,foursquare|account-executive|c1,1,Foursquare,Foursquare,,Account Executive,sales_bd_partnerships,,2026-01-02,exact,,,jobright,jobright_agent,none_observed,C,platform_log,application,,,,"New York, NY",hybrid,"Mid, Senior Level",$95K/yr - $150K/yr,medium,Jobright tracker. Application Method Applied by Agent.,overlap,foursquare|ae-new-business|c1,application,employer_artifact,
freeze2,primer|senior-business-development-manager-north-america|c1,1,Primer,Primer,,Senior Business Development Manager - North America,sales_bd_partnerships,,2025-12-09,exact,,,jobright,unknown,none_observed,C,platform_log,application,,,,United States,remote,Senior Level,Not stated,medium,Jobright tracker. Application Method Manual/Unspecified.,overlap,primer|unspecified|c1,application,employer_artifact,
freeze2,replit|sales-engineer|c1,1,Replit,Replit,,Sales Engineer,sales_solutions_engineering,,2025-07-27,exact,,,jobright,unknown,none_observed,C,platform_log,application,,,,Foster City,onsite,Mid Level,$150K/yr - $235K/yr,medium,Jobright tracker. Application Method Manual/Unspecified.,overlap,replit|sales-engineer|c1,application,employer_artifact,
freeze2,stedi|gtm-strategy-operations|c1,1,Stedi,Stedi,,GTM Strategy & Operations,revops_gtm_ops_strategy,,2025-07-27,exact,,,jobright,unknown,none_observed,C,platform_log,application,,,,United States,remote,Mid Level,$140K/yr - $200K/yr,medium,Jobright tracker. Application Method Manual/Unspecified.,overlap,stedi|unspecified|c1,application,employer_artifact,
freeze2,volley|senior-business-development-manager|c1,1,Volley,Volley,,Senior Business Development Manager,sales_bd_partnerships,,2025-07-27,exact,,,jobright,unknown,none_observed,C,platform_log,application,,,,San Francisco,hybrid,Senior Level,$155K/yr - $213K/yr,medium,Jobright tracker. Application Method Manual/Unspecified.,overlap,volley|unspecified|c1,application,employer_artifact,
freeze2,anaconda|senior-business-development-representative|c1,1,Anaconda,Anaconda,,Senior Business Development Representative,sales_bd_partnerships,,2025-07-27,exact,,,jobright,unknown,none_observed,C,platform_log,application,,,,United States,remote,"Mid, Senior Level",Not stated,medium,Jobright tracker. Application Method Manual/Unspecified.,overlap,anaconda|senior-bdr|c1,application,employer_artifact,
