linkedin_row_id,date_applied,company_as_listed,dedupe_status,matched_entity,evidence_logs,note
LI-001,2025-06-14,Databar.ai,net_new,,,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-002,2025-06-20,Datricks,net_new,,,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-003,2025-06-30,Bitovi,net_new,,,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-004,2025-06-30,Gigs,duplicate_gmail_receipt,Gigs,003,"Greenhouse-class receipt 2025-06-30, same day as LinkedIn submission."
LI-005,2025-06-30,ScoutLab.io,net_new,,,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-006,2025-07-03,JetBridge AI,net_new,,,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-007,2025-07-07,Abacus.AI,net_new,,,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-008,2025-07-07,JetBridge AI,net_new,,,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-009,2025-07-07,Brainfish,net_new,,,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-010,2025-07-07,Applause,duplicate_gmail_receipt,Applause,"003,019",Receipt then rejection 2025-07-08/09 with full application data copy; LinkedIn stamp 2025-07-07 21:34.
LI-011,2025-07-08,ClosedWon Talent,net_new,,,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-012,2025-07-09,SWARM,net_new,,,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-013,2025-08-04,proteanTecs,duplicate_gmail_receipt,proteanTecs,"002,019","Receipt 2025-08-08 (SDR), rejection re-confirmed log 019. Four days after the LinkedIn stamp; adjudicate if a same-day receipt is required."
LI-014,2025-11-18,Insignia Assets,net_new,"Insignia Collab (separate artifact, not a receipt)",020,"ADJUDICATED log 039. No employer artifact exists. The only Gmail item is Keegan's own SENT mail 2025-11-18 09:53 UTC to eml_16011a3a61e9, subject 'Operator / architect / Atlanta resident', resume attached, no role named, no reply. That is outbound cold outreach, not a receipt, so evidence_class stays platform_log. Open coding note, non-blocking: whether 'Insignia Assets' (LinkedIn, Head of Digital, req 4323010631) and insigniacollab.com are one entity. If yes, the email is a followup_sent event on this row; if no, it is a separate opportunity-register row. Not resolvable from the corpus."
LI-015,2026-01-20,Pickering Interfaces,net_new,,,No company match in the Gmail/Calendar corpus (logs 001-034).
