Person,Direction,Origin/Source,Company,Role/Title,First Date,Last Activity,Source Stage,Mapped Status,Interview Count,Confidence,Summary,Key Details
per_9db8338eca56,Inbound,LinkedIn recruiter/person outbound: per_9db8338eca56 / Speakeasy Inc.,Speakeasy Inc.,Sales Consultant,2025-06-17,2025-06-17,Ghosted,GHOSTED,UNKNOWN,High,Single-touch InMail about a Sales Consultant role at an Atlanta communication consulting firm. Never replied to.,Uncapped commission structure mentioned.
per_2209a6edb4d8,Inbound,LinkedIn recruiter/person outbound: per_2209a6edb4d8 / Thrivent,Thrivent,Financial Advisor,2025-06-23,2025-07-07,Ghosted,GHOSTED,UNKNOWN,Medium,Atlanta connection who leads a financial advisor team at Thrivent pitched joining his team. Replied once on 07/07 saying you're no finance guru but open depending on need; thread died.,Insurance/financial-services recruiting pattern.
per_4a1aca043b81 → Jacob Bowman,Inbound,LinkedIn recruiter/person outbound: per_4a1aca043b81 → Jacob Bowman / UNKNOWN — Jacob Bowman's company,UNKNOWN — Jacob Bowman's company,GTM Engineer,2025-07-01,2025-07-08,Ghosted,GHOSTED,UNKNOWN,High,"Marina made a group intro: 'You two should chat about the GTME role brewing.' You sent a video and your calendar link, followed up 'Lmk!' a week later — no response.",Warm intro that went nowhere; follow-up unanswered.
benyamin (🏍),Outbound,Cold outreach I initiated via LinkedIn: benyamin (🏍) / Cyft,Cyft,Growth team role,2025-07-08,2025-07-08,Ghosted,GHOSTED,UNKNOWN,Medium,You opened with a video message; benyamin responded with a 'cyft-growth-team-interview' Calendly link. No further messages — unclear if the interview happened.,Interview link: calendly.com/benyaminholley/cyft-growth-team-interview.
Teresa Vitale,Inbound,LinkedIn recruiter/person outbound: per_80470c6017a0 / Protecht,Protecht,SDR — Outbound Enterprise B2B,2025-07-17,2025-07-17,Ghosted,GHOSTED,UNKNOWN,High,Protecht re-advertised a role you'd applied to back in January 2025 and asked if you were still looking. No reply visible in thread.,Tied to your 01/07/2025 application (Jobs data).
per_1c50a16713f2,Inbound,LinkedIn recruiter/person outbound: per_1c50a16713f2 / AirOps → thecannonproject,AirOps → thecannonproject,GTM Engineer,2025-07-24,2026-07-14,Ongoing,GHOSTED,UNKNOWN,High,"Longest-running job thread. Eoin shared AirOps openings early (Nick is hiring manager, NY/SF preferred), told you 11/28/25 he was hiring a GTME deep in Clay, and after leaving AirOps in June 2026 landed at thecannonproject doing growth hiring — 'Will have a good few gtme roles in a couple weeks if that's what you're down for.' You confirmed GTME is the aim; long-term want forward-deployed/product.",AirOps careers link shared 07/26/25. 07/13/26: Eoin recruiting VP Marketing/Head of Growth/growth hires 2-5 into thecannonproject companies. You: 'ready to move to SF when you need me.'
per_256c539cee37,Inbound,LinkedIn recruiter/person outbound: per_256c539cee37 / Starbridge,Starbridge,GTM Engineer,2025-07-28,2026-02-23,Rejected,REJECTED,UNKNOWN,High,Justin had reached out via email about a GTM role; you followed up on LinkedIn. By 08/04/25 Henry told you they'd found a 'dream candidate.' You stayed gracious and pinged again 02/23/26 asking if anything new is open.,Role filled by another candidate. Relationship kept warm.
per_cf485281aa8e,Inbound,LinkedIn recruiter/person outbound: per_cf485281aa8e / AutoLeap,AutoLeap,Sales Development Representative,2025-08-04,2025-08-04,Ghosted,GHOSTED,UNKNOWN,High,Recruiter pitched an outbound SDR role; you replied asking 'any GTM efforts?' — no response.,Your reply shows the SDR→GTME filter you apply to inbound.
per_d41190230326,Inbound,LinkedIn recruiter/person outbound: per_d41190230326 / Outlier,Outlier,Part-Time Graphic Design (remote gig),2025-08-06,2025-08-06,Ghosted,GHOSTED,UNKNOWN,Medium,Second Outlier touch — ~$1.2K/week AI freelance platform gig pitched off your graphic-design background. Not replied to.,~$1.2K/week gig claim.
per_e92870805d56,Inbound,LinkedIn recruiter/person outbound: per_e92870805d56 / Soliant,Soliant,"Account Executive (Atlanta, GA)",2025-08-07,2025-08-15,Ghosted,GHOSTED,UNKNOWN,High,"Kelly reached out off your 'open to work' status for an AE role starting October, followed up a week later. You replied 'Tell me more' on 08/15 — nothing after.","Atlanta office, October start mentioned."
