Platform,Action,Company / Thread,Role,Date,Source Record ID,Matched/Base Key,Final Key,Confidence,Rationale
LinkedIn Threads,MERGED / REMOVED DUPLICATE,per_9a33cb2e6778 / RevSpring / 2026-05-29,—,—,—,"RevSpring + Lead, Agentic Operations + GTM Engineering + 2026-06-23","RevSpring + Lead, Agentic Operations + GTM Engineering + 2026-05-29",High,"Same company and exact role; Gmail confirms applications on Jun 4 and Jun 23, with a Jun 15 message saying prior recruiter contacts were unanswered. Treated as one opening/reapplication thread."
LinkedIn Threads,ADDED FROM LINKEDIN,per_9db8338eca56 / Speakeasy Inc. / 2025-06-17,—,—,—,—,Speakeasy Inc. + Sales Consultant + 2025-06-17,High,No sufficiently supported match in the 219-row ledger.
LinkedIn Threads,ADDED FROM LINKEDIN,per_2209a6edb4d8 / Thrivent / 2025-06-23,—,—,—,—,Thrivent + Financial Advisor + 2025-06-23,Medium,No sufficiently supported match in the 219-row ledger.
LinkedIn Threads,ADDED FROM LINKEDIN,per_4a1aca043b81 → per_950db4b78993 / UNKNOWN — per_950db4b78993's company / 2025-07-01,—,—,—,—,UNKNOWN — per_950db4b78993's company + GTM Engineer + 2025-07-01,High,No sufficiently supported match in the 219-row ledger.
LinkedIn Threads,ADDED FROM LINKEDIN,per_e51055796e91 / Cyft / 2025-07-08,—,—,—,—,Cyft + Growth team role + 2025-07-08,Medium,No sufficiently supported match in the 219-row ledger.
LinkedIn Threads,ADDED FROM LINKEDIN,per_80470c6017a0 / Protecht / 2025-07-17,—,—,—,—,Protecht + SDR — Outbound Enterprise B2B + 2025-07-17,High,No sufficiently supported match in the 219-row ledger.
LinkedIn Threads,ADDED FROM LINKEDIN,per_1c50a16713f2 / AirOps → thecannonproject / 2025-07-24,—,—,—,—,AirOps → thecannonproject + GTM Engineer + 2025-07-24,High,No sufficiently supported match in the 219-row ledger.
LinkedIn Threads,MERGED INTO EXISTING,per_256c539cee37 / Starbridge / 2025-07-28,—,—,—,Starbridge + Founding GTM Engineer + 2025-07-25,Starbridge + Founding GTM Engineer + 2025-07-25,High,"Company, role, chronology, and narrative align across LinkedIn and the non-excluded audit."
LinkedIn Threads,ADDED FROM LINKEDIN,per_cf485281aa8e / AutoLeap / 2025-08-04,—,—,—,—,AutoLeap + Sales Development Representative + 2025-08-04,High,No sufficiently supported match in the 219-row ledger.
LinkedIn Threads,ADDED FROM LINKEDIN,per_d41190230326 / Outlier / 2025-08-06,—,—,—,—,Outlier + Part-Time Graphic Design (remote gig) + 2025-08-06,Medium,No sufficiently supported match in the 219-row ledger.
LinkedIn Threads,ADDED FROM LINKEDIN,per_e92870805d56 / Soliant / 2025-08-07,—,—,—,—,"Soliant + Account Executive (Atlanta, GA) + 2025-08-07",High,No sufficiently supported match in the 219-row ledger.
LinkedIn Threads,ADDED FROM LINKEDIN,per_34d052de57d1 / WorkOS / 2025-08-25,—,—,—,—,WorkOS + GTM Engineer (remote) + 2025-08-25,High,No sufficiently supported match in the 219-row ledger.
LinkedIn Threads,ADDED FROM LINKEDIN,per_c2fa784a3619 / Unknown / 2025-08-31,—,—,—,—,Unknown + Unspecified (GTM-adjacent) + 2025-08-31,Medium,No sufficiently supported match in the 219-row ledger.
LinkedIn Threads,ADDED FROM LINKEDIN,per_4ac9a3152740 / UNKNOWN — financial agency / 2025-09-24,—,—,—,—,UNKNOWN — financial agency + Financial professional (remote) + 2025-09-24,Medium,No sufficiently supported match in the 219-row ledger.
LinkedIn Threads,ADDED FROM LINKEDIN,per_aec4f99dfc89 / UNKNOWN — Flexton client / 2025-10-02,—,—,—,—,UNKNOWN — Flexton client + Enablement Lead + 2025-10-02,High,No sufficiently supported match in the 219-row ledger.
LinkedIn Threads,ADDED FROM LINKEDIN,per_d6d740bb1b83 / Ambient.ai / 2025-10-09,—,—,—,—,"Ambient.ai + GTM Engineer (first-ever, remote) + 2025-10-09",High,No sufficiently supported match in the 219-row ledger.
LinkedIn Threads,ADDED FROM LINKEDIN,per_a530a533299b / Unknown / 2025-11-07,—,—,—,—,"Unknown + AI Enablement Specialist (Atlanta, hybrid) + 2025-11-07",High,No sufficiently supported match in the 219-row ledger.
LinkedIn Threads,ADDED FROM LINKEDIN,Outlier / Outlier / 2025-11-21,—,—,—,—,Outlier + Short-term image annotation (freelance) + 2025-11-21,Medium,No sufficiently supported match in the 219-row ledger.
LinkedIn Threads,ADDED FROM LINKEDIN,per_be9ed474c455 / Capital Linguists / 2025-11-23,—,—,—,—,Capital Linguists + Part-time SDR/BDR (contractor) + 2025-11-23,High,No sufficiently supported match in the 219-row ledger.
LinkedIn Threads,ADDED FROM LINKEDIN,per_c7f7673850f6 / UNKNOWN — agency client / 2026-01-05,—,—,—,—,"UNKNOWN — agency client + Sales Development Representative (Alpharetta, GA) + 2026-01-05",High,No sufficiently supported match in the 219-row ledger.
LinkedIn Threads,ADDED FROM LINKEDIN,per_648a39346310 / UNKNOWN — per_648a39346310 referral / 2026-01-06,—,—,—,—,"UNKNOWN — per_648a39346310 referral + SDR (Atlanta, hybrid) + 2026-01-06",High,No sufficiently supported match in the 219-row ledger.
LinkedIn Threads,MERGED INTO EXISTING,per_5864edd8d1eb / Glytec / 2026-01-21,—,—,—,Glytec + GTM Engineer + 2026-01-22,Glytec + GTM Engineer + 2026-01-21,High,"Company, role, chronology, and narrative align across LinkedIn and the non-excluded audit."
LinkedIn Threads,ADDED FROM LINKEDIN,per_342b3fd74701 / Handshake AI Fellowship / 2026-02-11,—,—,—,—,Handshake AI Fellowship + Sales & Marketing Professionals project (remote) + 2026-02-11,Medium,No sufficiently supported match in the 219-row ledger.
LinkedIn Threads,ADDED FROM LINKEDIN,per_63213c5fe064 / IBM / 2026-02-27,—,—,—,—,IBM + Brand Technical Sales Specialist (Brookhaven/Atlanta) + 2026-02-27,High,No sufficiently supported match in the 219-row ledger.
LinkedIn Threads,ADDED FROM LINKEDIN,per_1dfe7af83245 / TheKiln / 2026-03-03,—,—,—,—,TheKiln + GTM Engineer + 2026-03-03,High,No sufficiently supported match in the 219-row ledger.
LinkedIn Threads,ADDED FROM LINKEDIN,per_85ce3b5e7e8b / New York Life / 2026-03-04,—,—,—,—,New York Life + Financial Advisor / Fast-Track-to-Management + 2026-03-04,Medium,No sufficiently supported match in the 219-row ledger.
LinkedIn Threads,ADDED FROM LINKEDIN,per_f87ef433aef5 / UNKNOWN — digital product builder / 2026-03-07,—,—,—,—,UNKNOWN — digital product builder + Unspecified + 2026-03-07,Medium,No sufficiently supported match in the 219-row ledger.
LinkedIn Threads,MERGED INTO EXISTING,per_83a65c6fe4d6 / Virtru / 2026-03-09,—,—,—,Virtru + Director of Go-to-Market AI + 2026-03-09,Virtru + Director of Go-to-Market AI + 2026-03-09,High,"Company, role, chronology, and narrative align across LinkedIn and the non-excluded audit."
LinkedIn Threads,ADDED FROM LINKEDIN,per_e4b688b984ea / Parallel / 2026-03-09,—,—,—,—,Parallel + Unspecified + 2026-03-09,High,No sufficiently supported match in the 219-row ledger.
LinkedIn Threads,MERGED INTO EXISTING,per_d67cf0441d23 / Opsin Security / 2026-03-09,—,—,—,Opsin Security + GTM Engineer + 2026-03-12,Opsin Security + GTM Engineer + 2026-03-09,High,"Company, role, chronology, and narrative align across LinkedIn and the non-excluded audit."
LinkedIn Threads,ADDED FROM LINKEDIN,per_f25d88915b87 / New York Life / 2026-03-17,—,—,—,—,New York Life + Unspecified (financial) + 2026-03-17,Medium,No sufficiently supported match in the 219-row ledger.
LinkedIn Threads,ADDED FROM LINKEDIN,per_c1316df91476 / 2X / 2026-04-27,—,—,—,—,"2X + GTM Engineer (Clay-centric, client portfolio) + 2026-04-27",High,No sufficiently supported match in the 219-row ledger.
LinkedIn Threads,ADDED FROM LINKEDIN,per_5df87ec336ec / Best Version Media / 2026-05-06,—,—,—,—,Best Version Media + Sales Specialist + 2026-05-06,Medium,No sufficiently supported match in the 219-row ledger.
LinkedIn Threads,ADDED FROM LINKEDIN,per_13f4bab176da / Aptean / 2026-05-20,—,—,—,—,Aptean + Revenue Operations Analyst – GTM AI + 2026-05-20,High,No sufficiently supported match in the 219-row ledger.
LinkedIn Threads,EXCLUDED — NO OPPORTUNITY,per_0a694f9257f4 / UNKNOWN — per_0a694f9257f4' company / 2026-05-21,—,—,—,—,—,High,The contact explicitly said the company was not hiring.
LinkedIn Threads,ADDED FROM LINKEDIN,per_b0dcd893b225 / AICRO / 2026-05-25,—,—,—,—,AICRO + GTM Engineer + 2026-05-25,High,No sufficiently supported match in the 219-row ledger.
LinkedIn Threads,ADDED FROM LINKEDIN,per_e63747829297 / Aptean / 2026-05-28,—,—,—,—,Aptean + Revenue Operations (Clay experience) + 2026-05-28,High,No sufficiently supported match in the 219-row ledger.
LinkedIn Threads,MERGED INTO EXISTING,per_9a33cb2e6778 / RevSpring / 2026-05-29,—,—,—,"RevSpring + Lead, Agentic Operations + GTM Engineering + 2026-06-04","RevSpring + Lead, Agentic Operations + GTM Engineering + 2026-05-29",High,"Company, role, chronology, and narrative align across LinkedIn and the non-excluded audit."
LinkedIn Threads,ADDED FROM LINKEDIN,per_a0d440162c3c / AnyInt AI / 2026-06-09,—,—,—,—,AnyInt AI + Founding Sales (fully remote) + 2026-06-09,High,No sufficiently supported match in the 219-row ledger.
LinkedIn Threads,MERGED INTO EXISTING,per_114ee740dd72 / The Hog / 2026-06-04,—,—,—,The Hog + GTM Engineer + 2026-06-15,The Hog + Founding GTM Engineer + 2026-06-04,High,"Company, role, chronology, and narrative align across LinkedIn and the non-excluded audit."
