Thread/Dedup Key,Company,Role/Title,Role Lane,Role Title Resolution
Block+Tackle + Forward Deployed Marketing Engineer + 2026-08-22,Block+Tackle,Forward Deployed Marketing Engineer,"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence
Uncapped + GTM Engineer + 2026-08-22,Uncapped,GTM Engineer,GTM Engineering,Exact title present in source evidence
Mercor + Growth Strategist + 2026-08-20,Mercor,Growth Strategist,"Growth, Demand Generation & Marketing",Exact title present in source evidence
Mercor + B2B Sales Expert + 2026-08-18,Mercor,B2B Sales Expert,"Account Executive, Sales & Sales Leadership",Exact title present in source evidence
Mercor + Sales and Marketing Expert + 2026-08-18,Mercor,Sales and Marketing Expert,"Growth, Demand Generation & Marketing",Exact title present in source evidence
Mercor + Sales Engineering Expert + 2026-08-18,Mercor,Sales Engineering Expert,"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence
Mercor + GTM Engineer + 2026-08-14,Mercor,GTM Engineer,GTM Engineering,Exact title present in source evidence
"UNKNOWN — Fortune 500 client + Outbound Sales Consultant III (hybrid, Atlanta) + 2026-08-13",UNKNOWN — Fortune 500 client,"Outbound Sales Consultant III (hybrid, Atlanta)","Account Executive, Sales & Sales Leadership",Exact title present in source evidence
Weave + GTM Engineer + 2026-08-11,Weave,GTM Engineer,GTM Engineering,Exact title present in source evidence
Tripleseat + GTM Engineer + 2026-08-06,Tripleseat,GTM Engineer,GTM Engineering,Exact title present in source evidence
"Azul + Marketing AI Specialist (100% remote, 4-month contract) + 2026-07-28",Azul,"Marketing AI Specialist (100% remote, 4-month contract)","Growth, Demand Generation & Marketing",Exact title present in source evidence
"Global Financial Impact + Business Development Representative (1099, remote) + 2026-07-28",Global Financial Impact,"Business Development Representative (1099, remote)",Sales Development & Business Development,Exact title present in source evidence
UNKNOWN — construction/fabrication SaaS + Senior Revenue Operations Engineer + 2026-07-28,UNKNOWN — construction/fabrication SaaS,Senior Revenue Operations Engineer,Revenue & GTM Operations,Exact title present in source evidence
Doomers AI + Founding GTM + 2026-07-26,Doomers AI,Founding GTM,Founding GTM,Exact title present in source evidence
Fractional Demand + GTM Engineer + 2026-07-26,Fractional Demand,GTM Engineer,GTM Engineering,Exact title present in source evidence
Ailytics + Revenue Operations (RevOps) Specialist + 2026-07-22,Ailytics,Revenue Operations (RevOps) Specialist,Revenue & GTM Operations,Exact title present in source evidence
Claudomat + GTM Engineer + 2026-07-22,Claudomat,GTM Engineer,GTM Engineering,Exact title present in source evidence
Hightouch + Go-to-Market Engineer + 2026-07-22,Hightouch,Go-to-Market Engineer,GTM Engineering,Exact title present in source evidence
Owner.com + Product Builder - GTM Product + 2026-07-22,Owner.com,Product Builder - GTM Product,"Product, Technical & AI",Exact title present in source evidence
RevPartners + GTM Engineer + 2026-07-22,RevPartners,GTM Engineer,GTM Engineering,Exact title present in source evidence
Cincinnatus via Mercor + Biology & Biophysics Research Collaborator (Part-time) + 2026-07-20,Cincinnatus via Mercor,Biology & Biophysics Research Collaborator (Part-time),"Research, Education, Freelance & Other",Exact title present in source evidence
LiveKit + GTM Systems Engineer + 2026-07-20,LiveKit,GTM Systems Engineer,"GTM Strategy, Leadership & Generalist",Exact title present in source evidence
Clutch + GTM Engineer + 2026-07-19,Clutch,GTM Engineer,GTM Engineering,Exact title present in source evidence
Elios AI + Senior Forward Deployed Engineer + 2026-07-18,Elios AI,Senior Forward Deployed Engineer,"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence
Great Question + Senior Demand Generation Manager + 2026-07-17,Great Question,Senior Demand Generation Manager,"Growth, Demand Generation & Marketing",Exact title present in source evidence
Hyperbound + Founding RevOps Lead + 2026-07-17,Hyperbound,Founding RevOps Lead,Revenue & GTM Operations,Exact title present in source evidence
Attentive + GTM Engineer + 2026-07-15,Attentive,GTM Engineer,GTM Engineering,Exact title present in source evidence
Axiad + GTM Engineer + 2026-07-15,Axiad,GTM Engineer,GTM Engineering,Resolved from same-period job evidence; original ATS receipt omitted the title
BrightHire + Founding GTM Engineer + 2026-07-15,BrightHire,Founding GTM Engineer,Founding GTM,Resolved from a contemporaneous public listing; original ATS receipt omitted the title
GatherUp + Growth Engineer (GTM / Go-To-Market Engineer) + 2026-07-15,GatherUp,Growth Engineer (GTM / Go-To-Market Engineer),GTM Engineering,Resolved from contemporaneous Greenhouse/LinkedIn job evidence
Handshake + GTM Engineer + 2026-07-15,Handshake,GTM Engineer,GTM Engineering,Exact title present in source evidence
Higgsfield + GTM Engineer + 2026-07-15,Higgsfield,GTM Engineer,GTM Engineering,Exact title present in source evidence
"Hologram + GTM Engineer, Pre-Sales + 2026-07-15",Hologram,"GTM Engineer, Pre-Sales","Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence
HUD + GTM Engineer + 2026-07-15,HUD,GTM Engineer,GTM Engineering,Exact title present in source evidence
Lorikeet + GTM Engineer + 2026-07-15,Lorikeet,GTM Engineer,GTM Engineering,Exact title present in source evidence
"Nooks + GTM Engineer, Marketing + 2026-07-15",Nooks,"GTM Engineer, Marketing","Growth, Demand Generation & Marketing",Exact title present in source evidence
Productboard + Associate GTM Engineer + 2026-07-15,Productboard,Associate GTM Engineer,GTM Engineering,Exact title present in source evidence
Scribe + GTM Engineer + 2026-07-15,Scribe,GTM Engineer,GTM Engineering,Resolved from a same-period LinkedIn job recommendation; ATS receipt omitted the title
"UNKNOWN — hospice client + Hospice Account Executive (West Atlanta, GA) + 2026-07-15",UNKNOWN — hospice client,"Hospice Account Executive (West Atlanta, GA)","Account Executive, Sales & Sales Leadership",Exact title present in source evidence
Yuno + Go To Market Engineer + 2026-07-15,Yuno,Go To Market Engineer,GTM Engineering,Exact title present in source evidence
Conversion + GTM Engineer + 2026-07-14,Conversion,GTM Engineer,GTM Engineering,Exact title present in source evidence
UNKNOWN — financial team + Financial-services opportunity (exact title unresolved) + 2026-07-14,UNKNOWN — financial team,Financial-services opportunity (exact title unresolved),Financial Services & Advisory,Functional role recovered; formal title remains unresolved (was Unspecified)
Bluejay + Founding GTM + 2026-07-13,Bluejay,Founding GTM,Founding GTM,Exact title present in source evidence
Patch + Growth Engineering Lead + 2026-07-13,Patch,Growth Engineering Lead,"Growth, Demand Generation & Marketing",Exact title present in source evidence
