coder_id,application_id,cycle,company_canonical,company_as_listed,underlying_employer,role_as_listed,role_lane,gtm_modifier,date_applied,date_precision,date_capture,date_evidence_anchor,discovery_source,submission_channel,ats_system,evidence_tier,evidence_class,register,terminal_outcome,terminal_outcome_date,terminal_outcome_precision,location,work_type,level_as_listed,salary_range_listed,confidence,notes,adjudication_source,adjudication_note
cursor,10x-genomics|unspecified|c1,1,10x Genomics,10x Genomics,,unspecified,unspecified,,2026-05-02,exact,,,unknown,ats_direct,Greenhouse,A,employer_artifact,application,rejected_no_interview,2026-05-14,exact,,unstated,,not_stated,high,Two receipts 14 seconds apart from greenhouse-mail and careers.10xgenomics.com.,both,both_coders_application
cursor,12100-collective|seo-lead|c1,1,12100 Collective,12100 Collective,,SEO Lead,growth_demand_marketing,,2025-08-04,exact,,,wellfound,wellfound_apply,none_observed,A,employer_artifact,application,still_open,,,,unstated,,not_stated,high,,both,both_coders_application
cursor,4flow|director-go-to-market-strategy|c1,1,4flow,4flow,,"Director, Go To Market Strategy",revops_gtm_ops_strategy,,2025-08-04,exact,,,unknown,ats_direct,Workday,A,employer_artifact,application,still_open,,,,unstated,Director,not_stated,high,,both,both_coders_application
cursor,4mindsai|gtm-engineer|c1,1,4MindsAI,4MindsAI,,GTM Engineer,explicit_gtm_engineering,plain,2026-06-04,exact,,,unknown,ats_direct,none_observed,A,employer_artifact,application,still_open,,,,unstated,,not_stated,high,Application #49830118.,both,both_coders_application
cursor,90-seconds|unspecified|c1,1,90 Seconds,90 Seconds,,unspecified,unspecified,,2025-07-27,exact,,,unknown,ats_direct,Lever,A,employer_artifact,application,still_open,,,,unstated,,not_stated,high,Role omitted.,both,both_coders_application
cursor,adaptive6|sales-engineer|c1,1,Adaptive6,Adaptive6,,Sales Engineer,sales_solutions_engineering,,2026-06-04,exact,,,unknown,ats_direct,Comeet,A,employer_artifact,application,rejected_no_interview,2026-06-16,exact,,unstated,,not_stated,high,,both,both_coders_application
cursor,adapt|gtm-engineer-revops-lead|c1,1,Adapt,Adapt,,GTM Engineer / RevOps Lead,explicit_gtm_engineering,systems_operations,2026-03-27,exact,,,unknown,ats_direct,Dover,A,employer_artifact,application,still_open,,,,unstated,,not_stated,high,,both,both_coders_application
cursor,ai-digital|growth-director|c1,1,AI Digital,AI Digital,,Growth Director,growth_demand_marketing,,2026-07-24,exact,,,ladders,apply4me_agent,none_observed,A,employer_artifact,application,rejected_no_interview,2026-07-27,exact,,unstated,Director,not_stated,high,Apply4Me Application Sent plus employer decline.,both,both_coders_application
cursor,aicro|gtm-engineering-team-lead|c1,1,AICRO,AICRO,,GTM Engineering Team Lead,explicit_gtm_engineering,founding_senior_lead,2026-02-06,exact,,,unknown,email_direct,none_observed,A,employer_artifact,application,still_open,,,,unstated,Team Lead,not_stated,high,Sent to eml_5ae85b46cbf3.,both,both_coders_application
cursor,airgarage|consumer-growth-hacker|c1,1,AirGarage,AirGarage,,Consumer Growth Hacker,growth_demand_marketing,,2025-08-04,exact,,,wellfound,wellfound_apply,none_observed,A,employer_artifact,application,still_open,,,,unstated,,not_stated,high,,both,both_coders_application
cursor,airops|growth-engineer|c1,1,AirOps,AirOps,,Growth Engineer,growth_demand_marketing,,2026-04-10,exact,,,unknown,ats_direct,Ashby,A,employer_artifact,application,still_open,,,,unstated,,not_stated,high,,both,both_coders_application
cursor,airtable|gtm-engineer|c1,1,Airtable,Airtable,,GTM Engineer,explicit_gtm_engineering,plain,2026-05-21,exact,,,unknown,ats_direct,none_observed,A,employer_artifact,application,rejected_no_interview,2026-05-27,exact,,unstated,,not_stated,high,,both,both_coders_application
cursor,ambrook|business-operations-lead|c1,1,Ambrook,Ambrook,,Business Operations Lead,revops_gtm_ops_strategy,,2026-02-11,exact,,,unknown,ats_direct,Ashby,A,employer_artifact,application,rejected_no_interview,2026-02-12,exact,,unstated,,not_stated,high,Second Ambrook role. Followup_sent to no-reply after rejection.,both,both_coders_application
cursor,ambrook|partnerships-lead|c1,1,Ambrook,Ambrook,,Partnerships Lead,sales_bd_partnerships,,2025-08-06,exact,,,unknown,ats_direct,Ashby,A,employer_artifact,application,still_open,,,,unstated,,not_stated,high,Distinct from 2026 Business Operations Lead.,both,both_coders_application
cursor,anaconda|senior-bdr|c1,1,Anaconda,Anaconda,,Senior BDR,sales_bd_partnerships,,2025-07-27,exact,,,unknown,ats_direct,Rippling,A,employer_artifact,application,still_open,,,,unstated,Senior,not_stated,high,Rippling receipt 2025-07-27; 2025-08-22 update thread gth_ef44ed80a3ab9ffd merged.,both,both_coders_application
cursor,anthropic|software-engineer-business-technology|c1,1,Anthropic,Anthropic,,"Software Engineer, Business Technology",product_ai_technical,,2026-03-08,exact,,,unknown,ats_direct,Greenhouse,A,employer_artifact,application,rejected_no_interview,2026-03-09,exact,,unstated,,not_stated,high,,both,both_coders_application
cursor,anysphere|gtm-emerging-products|c1,1,Anysphere,Cursor,,"GTM, Emerging Products",explicit_gtm_engineering,ai_product_vertical,2026-07-12,exact,,,unknown,ats_direct,Ashby,A,employer_artifact,application,rejected_no_interview,2026-07-13,exact,,unstated,,not_stated,high,Company as listed Cursor. Canonical Anysphere.,both,both_coders_application
cursor,apartmentiq|unspecified|c1,1,ApartmentIQ,ApartmentIQ,,unspecified,unspecified,,2026-05-21,exact,,,unknown,ats_direct,Greenhouse,A,employer_artifact,application,rejected_no_interview,2026-05-28,exact,,unstated,,not_stated,high,Role omitted on receipt.,both,both_coders_application
cursor,apollo-io|unspecified|c1,1,Apollo.io,Apollo.io,,unspecified,unspecified,,2026-05-28,exact,,,unknown,ats_direct,Greenhouse,A,employer_artifact,application,still_open,,,,unstated,,not_stated,high,Two identical receipts 62 seconds apart. Role omitted.,both,both_coders_application
cursor,appgate|gtm-engineer|c1,1,AppGate,AppGate Cybersecurity,,GTM Engineer,explicit_gtm_engineering,plain,2026-04-06,exact,,,unknown,ats_direct,Workable,A,employer_artifact,application,still_open,,,,unstated,,not_stated,high,,both,both_coders_application
cursor,applause|enterprise-sdr|c1,1,Applause,Applause,,Enterprise SDR,sales_bd_partnerships,,2025-07-08,exact,,,unknown,ats_direct,Workable,A,employer_artifact,application,rejected_no_interview,2025-07-09,exact,,unstated,,not_stated,high,Data copy gth_c267ece03dd32903 plus receipt/rejection gth_ead7e2e5ff24178c.,both,both_coders_application
cursor,applied-systems|sales-enablement-gtm-readiness-lead|c1,1,Applied Systems,Applied Systems,,Sales Enablement GTM Readiness Lead,revops_gtm_ops_strategy,,2026-05-21,exact,,,unknown,ats_direct,iCIMS,A,employer_artifact,application,still_open,,,,unstated,Lead,not_stated,high,"iCIMS verify, welcome, and receipt within 28 seconds.",both,both_coders_application
cursor,armada|ai-factory-value-engineer|c1,1,Armada,Armada,,"AI Factory, Value Engineer",sales_solutions_engineering,,2026-06-22,exact,,,unknown,ats_direct,Greenhouse,A,employer_artifact,application,still_open,,,,unstated,,not_stated,high,,both,both_coders_application
cursor,atlanta-public-schools|unspecified|c1,1,Atlanta Public Schools,Atlanta Public Schools,,unspecified,other,,2026-06-19,exact,,,unknown,ats_direct,none_observed,A,employer_artifact,application,role_paused_or_closed,2026-06-22,exact,,unstated,,not_stated,high,AppliTrack submission confirmed 6/19/2026 5:09:44 PM. APS later said not accepting substitute applications. Both facts recorded.,both,both_coders_application
cursor,attentive|gtm-engineer|c2,2,Attentive,Attentive,,GTM Engineer,explicit_gtm_engineering,plain,2026-07-15,exact,,,unknown,ats_direct,Greenhouse,A,employer_artifact,application,still_open,,,,unstated,,not_stated,high,Cycle 2 after 2026-07-07 decline.,both,both_coders_application
cursor,auctane|pre-sales-engineer|c1,1,Auctane,Auctane,,Pre-Sales Engineer,sales_solutions_engineering,,2026-04-10,exact,,,unknown,ats_direct,Greenhouse,A,employer_artifact,application,rejected_no_interview,2026-05-14,exact,,unstated,,not_stated,high,Receipt omits role; decline names Pre-Sales Engineer.,both,both_coders_application
cursor,automation-anywhere|sales-engineer|c1,1,Automation Anywhere,Automation Anywhere,,Sales Engineer,sales_solutions_engineering,,2026-06-24,exact,,,unknown,ats_direct,Workday,A,employer_artifact,application,still_open,,,,unstated,,not_stated,high,,both,both_coders_application
cursor,ava-labs|growth-lead-core|c1,1,Ava Labs,Ava Labs,,"Growth Lead, Core",growth_demand_marketing,,2025-08-04,exact,,,wellfound,wellfound_apply,none_observed,A,employer_artifact,application,still_open,,,,unstated,,not_stated,high,Wellfound submission gth_f05b94b3d373f04c. Employer thanks-for-interest 2025-08-14 gth_2ef1129d4affda0a merged.,both,both_coders_application
cursor,axiad|unspecified|c1,1,Axiad,Axiad,,unspecified,unspecified,,2026-07-15,exact,,,unknown,ats_direct,Greenhouse,A,employer_artifact,application,still_open,,,,unstated,,not_stated,high,Security code then thank you. Role omitted.,both,both_coders_application
cursor,axon|manager-go-to-market-readiness|c1,1,Axon,Axon,,"Manager, Go-to-Market Readiness",revops_gtm_ops_strategy,,2025-08-04,exact,,,unknown,ats_direct,none_observed,A,employer_artifact,application,rejected_no_interview,2025-08-04,exact,,unstated,Manager,not_stated,high,Apply then reviewed same day. Threads gth_60df33526b5d45da and gth_e7990aa8e2799f88.,both,both_coders_application
cursor,beacon-software|unspecified|c1,1,Beacon Software,Beacon Software,,unspecified,unspecified,,2026-01-26,exact,,,unknown,ats_direct,Greenhouse,A,employer_artifact,application,still_open,,,,unstated,,not_stated,high,Security code then completed receipt 79 seconds later.,both,both_coders_application
cursor,beautiful-ai|unspecified|c1,1,Beautiful.ai,Beautiful.ai,,unspecified,unspecified,,2026-03-08,exact,,,unknown,ats_direct,Greenhouse,A,employer_artifact,application,rejected_after_interview,2026-03-26,exact,,unstated,,not_stated,high,Role omitted on receipt. Interview process through at least 2026-03-19. Hiring manager Brandon Ness named in sent-mail thread.,both,both_coders_application
cursor,beckhoff-automation|sales-engineer|c1,1,Beckhoff Automation,Beckhoff Automation,,Sales Engineer,sales_solutions_engineering,,2025-08-08,exact,,,unknown,ats_direct,none_observed,A,employer_artifact,application,rejected_no_interview,2025-08-08,exact,,unstated,,not_stated,high,Paycom incomplete notice 2025-08-07 then 2025-08-08 rejection thanking him for applying. Submission treated as completed that day.,both,both_coders_application
cursor,blackthorn-io|unspecified|c1,1,Blackthorn.io,Blackthorn.io,,unspecified,unspecified,,2025-08-05,exact,,,unknown,ats_direct,Greenhouse,A,employer_artifact,application,still_open,,,,unstated,,not_stated,high,Role omitted on receipt.,both,both_coders_application
cursor,boulevard|gtm-engineer|c1,1,Boulevard,Boulevard,,GTM Engineer,explicit_gtm_engineering,plain,2026-03-31,exact,,,unknown,ats_direct,Greenhouse,A,employer_artifact,application,rejected_no_interview,2026-06-04,exact,,unstated,,not_stated,high,,both,both_coders_application
cursor,brand-ai|gtme|c1,1,Brand.ai,brand.ai,,GTME,explicit_gtm_engineering,plain,2026-04-02,exact,,,unknown,email_direct,none_observed,A,employer_artifact,application,rejected_no_interview,2026-04-07,exact,,unstated,,not_stated,high,Sent mail to eml_b7cd35bd64cf with portfolio. Comp discussion then rejection in same thread.,both,both_coders_application
cursor,brighthire|unspecified|c1,1,BrightHire,BrightHire,,unspecified,unspecified,,2026-07-15,exact,,,unknown,ats_direct,Greenhouse,A,employer_artifact,application,still_open,,,,unstated,,not_stated,high,Role omitted.,both,both_coders_application
cursor,built-recruiting|gtm-engineer|c1,1,Built Recruiting,Built Recruiting,,GTM Engineer,explicit_gtm_engineering,plain,2026-04-16,evidence_bound,,2026-04-16,unknown,ats_direct,Greenhouse,B,employer_artifact,application,role_paused_or_closed,2026-04-16,exact,,unstated,,not_stated,medium,Position filled update. No earlier receipt.,both,both_coders_application
cursor,canals|sales-manager|c1,1,Canals,Canals,,Sales Manager,sales_bd_partnerships,,2026-06-24,exact,,,unknown,ats_direct,Ashby,A,employer_artifact,application,still_open,,,,unstated,,not_stated,high,,both,both_coders_application
cursor,circle|gtm-engineer-outbound|c1,1,Circle,Circle,,"GTM Engineer, Outbound",explicit_gtm_engineering,sales_presales,2025-06-20,exact,,,unknown,ats_direct,Greenhouse,A,employer_artifact,application,still_open,,,,unstated,,not_stated,high,,both,both_coders_application
cursor,city-schools-of-decatur|unspecified|c1,1,City Schools Of Decatur,City Schools Of Decatur,,unspecified,other,,2026-06-26,exact,,,unknown,ats_direct,none_observed,A,employer_artifact,application,still_open,,,,unstated,,not_stated,high,AppliTrack started then submission confirmed 6/26/2026. Role omitted.,both,both_coders_application
cursor,classdojo|unspecified|c1,1,ClassDojo,ClassDojo,,unspecified,unspecified,,2025-08-08,evidence_bound,,2025-08-08,unknown,ats_direct,Gem,B,employer_artifact,application,still_open,,,,unstated,,not_stated,medium,Gem update only. Role omitted.,both,both_coders_application
cursor,clay|growth-strategist-enterprise|c1,1,Clay,Clay,,"Growth Strategist, Enterprise",growth_demand_marketing,,2026-06-24,exact,,,unknown,ats_direct,Ashby,A,employer_artifact,application,rejected_no_interview,2026-06-25,exact,,unstated,,not_stated,high,,both,both_coders_application
cursor,cloudflare|gtm-engineer|c1,1,Cloudflare,Cloudflare,,GTM Engineer,explicit_gtm_engineering,plain,2026-06-04,exact,,,unknown,ats_direct,none_observed,A,employer_artifact,application,rejected_no_interview,2026-06-23,exact,,unstated,,not_stated,high,,both,both_coders_application
cursor,clutch|gtm-engineer|c1,1,Clutch,Clutch,,GTM Engineer,explicit_gtm_engineering,plain,2026-07-19,exact,,,unknown,ats_direct,Ashby,A,employer_artifact,application,still_open,,,,unstated,,not_stated,high,Receipt then 2026-07-22 note.,both,both_coders_application
cursor,colab-software|sales-engineer|c1,1,CoLab Software,CoLab Software,,Sales Engineer,sales_solutions_engineering,,2026-05-21,exact,,,unknown,ats_direct,Greenhouse,A,employer_artifact,application,still_open,,,,unstated,,not_stated,high,Greenhouse thank you; hiring.colabsoftware.com Sales Engineer 2026-05-28.,both,both_coders_application
cursor,companycam|gtm-systems-engineer|c1,1,CompanyCam,CompanyCam,,GTM Systems Engineer,explicit_gtm_engineering,systems_operations,2026-04-03,exact,,,unknown,ats_direct,none_observed,A,employer_artifact,application,still_open,,,,unstated,,not_stated,high,,both,both_coders_application
cursor,confido|founding-gtm-engineer|c1,1,Confido,Confido,,Founding GTM Engineer,explicit_gtm_engineering,founding_senior_lead,2026-07-12,exact,,,unknown,ats_direct,Ashby,A,employer_artifact,application,still_open,,,,unstated,Founding,not_stated,high,,both,both_coders_application
cursor,conversion|gtm-engineer|c1,1,Conversion,Conversion,,GTM Engineer,explicit_gtm_engineering,plain,2026-07-14,exact,,,unknown,ats_direct,Ashby,A,employer_artifact,application,still_open,,,,unstated,,not_stated,high,,both,both_coders_application
cursor,cresta|gtm-engineer|c1,1,Cresta,Cresta,,GTM Engineer,explicit_gtm_engineering,plain,2026-04-10,exact,,,unknown,ats_direct,none_observed,A,employer_artifact,application,still_open,,,,unstated,,not_stated,high,,both,both_coders_application
cursor,crypto-com|product-growth-hacker-exchange-main-app|c1,1,Crypto.com,Crypto.com,,Product Growth Hacker: Exchange & Main App,growth_demand_marketing,,2025-08-05,exact,,,unknown,ats_direct,Lever,A,employer_artifact,application,rejected_no_interview,2025-11-02,exact,,unstated,,not_stated,high,Receipt 2025-08-05; 2025-11-02 Lever thank-you/decline of same role merged. Evidence IDs gth_2cbb1ee26d2137ac and gth_a5db72a965bb0178.,both,both_coders_application
cursor,dagster-labs|gtm-engineer|c1,1,Dagster Labs,Dagster Labs,,GTM Engineer,explicit_gtm_engineering,plain,2026-03-30,exact,,,unknown,ats_direct,Greenhouse,A,employer_artifact,application,rejected_after_interview,2026-04-03,exact,,unstated,,not_stated,high,Receipt plus security-code resubmit same day. Delaney Housley thanked him for chatting 2026-04-03.,both,both_coders_application
cursor,dbeaver|gtm-engineer|c1,1,DBeaver,DBeaver,,GTM Engineer,explicit_gtm_engineering,plain,2026-05-21,exact,,,unknown,ats_direct,Greenhouse,A,employer_artifact,application,rejected_no_interview,2026-06-05,exact,,unstated,,not_stated,high,,both,both_coders_application
cursor,deepgram|gtm-engineer|c1,1,Deepgram,Deepgram,,GTM Engineer,explicit_gtm_engineering,plain,2026-05-21,exact,,,unknown,ats_direct,Ashby,A,employer_artifact,application,rejected_no_interview,2026-05-22,exact,,unstated,,not_stated,high,,both,both_coders_application
