company,claim_type,claimed_interviews,claimed_origin,origin_channel,counterparty_pointers,census_status,census_interviews,retrievable_source,note
Glytec,interview_and_origin,1,inbound LinkedIn DM from the CEO citing a referral in his network,linkedin_inbound_dm,per_23ddda481006;per_8b1d842b28e4,opportunity_register,1,LinkedIn DMs,Interview coded on the opportunity row so it is outside the 223 denominator. Author states the CEO is the person the workbook note calls the originator.
The Kiln,interview_and_origin,2,inbound LinkedIn DM,linkedin_inbound_dm,per_8a2e7ca933fb;per_87c75d3a97f3,absent,0,LinkedIn DMs,Absent from census and opportunity register alike. Second round with the founder. Author distinguishes this founder from the Glytec CEO who shares a given name.
Pinn,interview_and_origin,2,GTM Cafe Slack #jobsandopportunities,community_slack,per_300636e0811c;per_51b7bec8d81b,absent,0,GTM Cafe Slack,Held by the challenger workbook as open_workbook_only. Two rounds.
Opsin Security,interview_and_origin,2,recruiter at an intermediary firm then the CEO,recruiter_intermediary,per_b3fd8b7fa005,absent,0,,First round recruiter alignment at Colossus Technology Group. Second round the CEO.
Hotglue,interview_and_origin,1,inbound message on Y Combinator Work at a Startup,yc_work_at_a_startup,per_8c8479ce1bf3;per_16771578794e,absent,0,YC Work at a Startup,Unmet stop condition 6. Pointer per_8c8479ce1bf3 matches the challenger workbook independently.
Mixmax,interview_and_origin,1,GTM Engineering School relationship,school_network,per_1eb21c5181e3,absent,0,,Led to a two week project then a three month contract. Commercial outcome rather than employment.
Mercor,interview_and_origin,2,self-submitted through the Mercor internal job board after creating an account,platform_internal_board,per_c4cf94e75b60;per_a480e87067b4,opportunity_register,2,Mercor account,Author states these were self-submissions which would make them application register rather than opportunity.
Every,origin_only,1,saw the posting link in GTM Cafe Slack #jobsandopportunities,community_slack,per_38e5a68d9f25,census,1,GTM Cafe Slack,Interview already counted. Origin is the new information.
Great Question,origin_only,1,found the posting in #jobsandopportunities,community_slack,per_cc6350478672,census,1,GTM Cafe Slack,Interview already counted. Origin is the new information.
Pearl,origin_only,2,responded to a GTM Cafe #jobsandopportunities post then was referred by a contact connected to Pearl through agency work,community_slack_then_referral,per_7f342b79774c;per_5d7f15f2fce8,census,1,GTM Cafe Slack,"Author reports two rounds, census codes one. Second round with the VP of Finance."
PhrasIQ,origin_only,2,applied on Wellfound,job_board_wellfound,per_3b9d8298f1b5,census,1,Wellfound,"Author reports two rounds, census codes one. Pointer matches the challenger workbook independently."
HartleyCo,origin_and_title,1,recruiter,recruiter_inbound,per_2ad5a0937203,census,1,,Author names the underlying role as Bluejay where the census carries founding-gtm.
Hypergen,interview_dispute,0,,,,census,1,,Author states no interview was ever scheduled. Bravo coded employer_ack and cursor coded hiring_manager_interview on an interview INVITATION. Adjudication took cursor. Author recall agrees with bravo.
RevSpring,interview_dispute,,,,census,1,,"Author is unsure. Both coders coded recruiter_screen from a Recruiter Screen Request, which is a request rather than a completed round."
TestGorilla,interview_dispute,,,,census,1,,"Author doubts it. Both coders coded recruiter_screen from a Teamtailor recruiter intro, which may be an automated introduction rather than a completed round."
jobmail.io,interview_dispute,,,,census,1,,Author doubts it. Already an open defect: the derived interview contradicts a stored terminal outcome of rejected_no_interview and it has no blind second reading.
Orchestry,interview_confirm,1,,,,census,1,,Author confirms one round after missing the first and rescheduling. Census agrees.
Beautiful.ai,interview_confirm,1,,,,census,1,,Author confirms. Census agrees.
Dagster Labs,interview_confirm,1,,,,census,1,,Author confirms. Census agrees.
Hologram,interview_confirm,2,,,,census,1,,"Author reports two rounds, census codes one."
The Hog,interview_confirm,1,,,,census,1,,Author confirms. Census agrees.
