linkedin_row_id,company_as_listed,role_as_listed,date_applied,package_dedupe_status,match_status,parent_id,parent_role,notes
LI-001,Databar.ai,GTM Engineer (Growth & Sales),2025-06-14 07:31,net_new,overlap,databar-ai|gtm-engineer-growth-sales|c1,GTM Engineer (Growth & Sales),No company match in the Gmail/Calendar corpus (logs 001-034).
LI-002,Datricks,Sales Engineer - US (Remote),2025-06-20 04:07,net_new,candidate_net_new,,,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-003,Bitovi,AI Enablement Engineer,2025-06-30 15:51,net_new,candidate_net_new,,,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-004,Gigs,Solutions Engineer,2025-06-30 16:20,duplicate_gmail_receipt,overlap,gigs|unspecified|c1,unspecified,"Greenhouse-class receipt 2025-06-30, same day as LinkedIn submission."
LI-005,ScoutLab.io,"Brand New Role! - AI FinTech Heavyweight! - Solutions Engineer  – Series B equity - $150k Base, Generous Bonus Structure -Remote – EST and CST Only",2025-06-30 16:21,net_new,candidate_net_new,,,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-006,JetBridge AI,Sr. SDR for Profitable AI Startup,2025-07-03 04:54,net_new,candidate_net_new,,,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-007,Abacus.AI,Senior Sales Development Representative,2025-07-07 15:48,net_new,candidate_net_new,,,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-008,JetBridge AI,Sr. SDR for Profitable AI Startup,2025-07-07 15:48,net_new,candidate_net_new,,,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-009,Brainfish,Sales Development Representative (SDR) – Dive into AI with Brainfish!,2025-07-07 15:52,net_new,candidate_net_new,,,No company match in the Gmail/Calendar corpus (logs 001-034).
LI-010,Applause,Enterprise SDR,2025-07-07 21:34,duplicate_gmail_receipt,overlap,applause|enterprise-sdr|c1,Enterprise SDR,Receipt then rejection 2025-07-08/09 with full application data copy; LinkedIn stamp 2025-07-07 21:34.
LI-011,ClosedWon Talent,Founding Account Executive,2025-07-08 09:31,net_new,candidate_net_new,,,No company match in the Gmail/Calendar corpus (logs 001-034).
