side,workbook_key,workbook_company,workbook_role,workbook_date,workbook_status,workbook_category,workbook_title_resolution,application_id,repository_role,repository_register,repository_evidence_tier,repository_terminal_outcome,in_census_223,match_tier,candidate_application_ids,disposition,disposition_reason
both,10x Genomics + Global Commercial Education Manager + 2026-05-02,10x Genomics,Global Commercial Education Manager,2026-05-02,REJECTED,Direct application / ATS,Exact title present in source evidence,10x-genomics|unspecified|c1,unspecified,application,A,rejected_no_interview,yes,company_and_unspecified_role,,declined_outside_evidence_title,"The workbook resolves the title as `Global Commercial Education Manager` from evidence not in this corpus (Exact title present in source evidence). It establishes that the company had an opening by that name in that period, not which opening was applied to."
both,"2X + GTM Engineer (Clay-centric, client portfolio) + 2026-04-06",2X,"GTM Engineer (Clay-centric, client portfolio)",2026-04-06,GHOSTED,LinkedIn application,Exact title present in source evidence,2x|gtm-engineer|c1,GTM Engineer,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,4MindsAI + GTM Engineer + 2026-06-04,4MindsAI,GTM Engineer,2026-06-04,GHOSTED,Direct application / ATS,Exact title present in source evidence,4mindsai|gtm-engineer|c1,GTM Engineer,application,A,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,4flow + Director - Go To Market Strategy + 2025-08-04,4flow,Director - Go To Market Strategy,2025-08-04,GHOSTED,Direct application / ATS,Exact title present in source evidence,4flow|director-go-to-market-strategy|c1,"Director, Go To Market Strategy",application,A,still_open,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,90 Seconds + (Senior) Business Development Manager - Enterprise (US) + 2025-07-27,90 Seconds,(Senior) Business Development Manager - Enterprise (US),2025-07-27,GHOSTED,Jobright.ai application,Exact title present in source evidence,90-seconds|unspecified|c1,(Senior) Business Development Manager - Enterprise (US),application,B,still_open,yes,exact_company_role_date,,adopted_freeze31_title,Role title backfilled at Freeze 3.1 from this repository's own platform artifacts. The workbook gives the same title independently.
both,AICRO + GTM Engineer + 2026-05-25,AICRO,GTM Engineer,2026-05-25,GHOSTED,LinkedIn application,Exact title present in source evidence,aicro|gtm-engineer|c1,GTM Engineer,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Abacus.AI + Senior Sales Development Representative + 2025-07-07,Abacus.AI,Senior Sales Development Representative,2025-07-07,GHOSTED,LinkedIn application,Exact title present in source evidence,abacus-ai|senior-sales-development-representative|c1,Senior Sales Development Representative,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Adaptive6 + Sales Engineer + 2026-06-04,Adaptive6,Sales Engineer,2026-06-04,REJECTED,LinkedIn application,Exact title present in source evidence,adaptive6|sales-engineer|c1,Sales Engineer,application,A,rejected_no_interview,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Agroknow + North America Sales + 2025-11-25,Agroknow,North America Sales,2025-11-25,REJECTED,Direct application / ATS,Exact title present in source evidence,agroknow|north-america-sales|c1,North America Sales,application,B,rejected_no_interview,yes,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
both,Ailytics + Revenue Operations (RevOps) Specialist + 2026-07-22,Ailytics,Revenue Operations (RevOps) Specialist,2026-07-22,GHOSTED,LinkedIn application,Exact title present in source evidence,ailytics|revenue-operations-revops-specialist|c1,Revenue Operations (RevOps) Specialist,application,C,,no,exact_company_role_date,,agreed,Both datasets hold this record and place it in the application register.
