coder_id,event_id,application_id,event_date,event_date_precision,event_type,round_number,counterparty_name,counterparty_role,medium,evidence_system,evidence_id,notes
cursor,crypto-com|product-growth-hacker-exchange-main-app|c1|e1,crypto-com|product-growth-hacker-exchange-main-app|c1,2025-08-05,exact,submission_receipt,,unknown,,email,gmail,gth_2cbb1ee26d2137ac,
cursor,fullsteam|senior-sales-development-representative|c1|e1,fullsteam|senior-sales-development-representative|c1,2025-09-29,evidence_bound,submission_receipt,,unknown,,email,gmail,gth_1a05f5a4e1ffa7ad,
cursor,anaconda|senior-bdr|c1|e1,anaconda|senior-bdr|c1,2025-07-27,exact,submission_receipt,,unknown,,email,gmail,gth_cd513ab76e1d81dd,
cursor,sage|director-of-growth-small|c1|e1,sage|director-of-growth-small|c1,2025-08-04,exact,submission_receipt,,unknown,,email,gmail,gth_677cf91c6d68ffaa,
cursor,ava-labs|growth-lead-core|c1|e1,ava-labs|growth-lead-core|c1,2025-08-04,exact,submission_receipt,,unknown,,email,gmail,gth_f05b94b3d373f04c,
cursor,classdojo|unspecified|c1|e1,classdojo|unspecified|c1,2025-08-08,evidence_bound,submission_receipt,,unknown,,email,gmail,gth_8ecd48caabede254,
cursor,proteantecs|sdr|c1|e1,proteantecs|sdr|c1,2025-08-08,exact,submission_receipt,,unknown,,email,gmail,gth_872a8cc666a982c0,
cursor,beckhoff-automation|sales-engineer|c1|e1,beckhoff-automation|sales-engineer|c1,2025-08-08,exact,submission_receipt,,unknown,,email,gmail,gth_7af99df6c0ed420a,
cursor,seamless-ai|sdr-remote-us|c1|e1,seamless-ai|sdr-remote-us|c1,2025-08-05,exact,submission_receipt,,unknown,,email,gmail,gth_ab6b5f0fdbb449ec,
cursor,ambrook|partnerships-lead|c1|e1,ambrook|partnerships-lead|c1,2025-08-06,exact,submission_receipt,,unknown,,email,gmail,gth_a40ab81ae9db447a,
cursor,blackthorn-io|unspecified|c1|e1,blackthorn-io|unspecified|c1,2025-08-05,exact,submission_receipt,,unknown,,email,gmail,gth_e16c1dce856c6501,
cursor,axon|manager-go-to-market-readiness|c1|e1,axon|manager-go-to-market-readiness|c1,2025-08-04,exact,submission_receipt,,unknown,,email,gmail,gth_60df33526b5d45da,
cursor,4flow|director-go-to-market-strategy|c1|e1,4flow|director-go-to-market-strategy|c1,2025-08-04,exact,submission_receipt,,unknown,,email,gmail,gth_b7e5dba6558a5e97,
cursor,itc-infotech|manager-business-development|c1|e1,itc-infotech|manager-business-development|c1,2025-08-04,exact,submission_receipt,,unknown,,email,gmail,gth_094809d092e62284,
cursor,fibr-ai|founding-sdr-ae|c1|e1,fibr-ai|founding-sdr-ae|c1,2025-08-04,exact,submission_receipt,,unknown,,email,gmail,gth_8a3654f6092433d7,
cursor,12100-collective|seo-lead|c1|e1,12100-collective|seo-lead|c1,2025-08-04,exact,submission_receipt,,unknown,,email,gmail,gth_9dbe21075064fa41,
