dimension,value,n_distinct_titles,n_applications,n_latency_base,n_responded_any,n_responded_substantive,n_interviewed,interview_rate,interview_rate_wilson_lo,interview_rate_wilson_hi,suppressed
role_lane,explicit_gtm_engineering,37,92,87,45,38,10,10/92,0.0601,0.1886,no
role_lane,sales_bd_partnerships,29,31,26,16,12,0,0/31,0.0000,0.1103,no
role_lane,unspecified,1,25,24,8,7,2,2/25,0.0222,0.2497,no
role_lane,growth_demand_marketing,20,23,22,9,7,2,2/23,0.0242,0.2680,no
role_lane,other,15,18,7,5,4,0,0/18,0.0000,0.1759,no
role_lane,sales_solutions_engineering,9,16,16,7,5,0,0/16,0.0000,0.1936,no
role_lane,revops_gtm_ops_strategy,10,10,9,6,3,0,0/10,0.0000,0.2775,no
role_lane,product_ai_technical,8,8,6,4,3,0,0/8,0.0000,0.3244,no
gtm_modifier,plain,10,61,57,32,25,5,5/61,0.0355,0.1779,no
gtm_modifier,systems_operations,9,11,11,2,2,0,0/11,0.0000,0.2588,no
gtm_modifier,ai_product_vertical,7,7,7,6,6,0,0/7,0.0000,0.3543,no
gtm_modifier,founding_senior_lead,6,7,6,2,2,3,3/7,0.1582,0.7495,no
gtm_modifier,sales_presales,4,4,4,3,3,2,,,,yes
gtm_modifier,growth_marketing,1,2,2,0,0,0,,,,yes
title_token,gtm_or_go_to_market,45,100,94,48,39,10,10/100,0.0552,0.1744,no
title_token,engineer,44,107,103,49,40,9,9/107,0.0449,0.1522,no
title_token,growth,17,20,19,8,6,1,1/20,0.0089,0.2361,no
title_token,solutions,3,3,3,0,0,0,,,,yes
title_token,sales,17,24,22,14,11,2,2/24,0.0232,0.2585,no
title_token,operations_or_revops,11,11,10,3,3,1,1/11,0.0162,0.3774,no
title_token,founding,8,8,6,0,0,1,1/8,0.0224,0.4709,no
title_token,senior_or_lead_or_head,28,31,28,15,12,4,4/31,0.0513,0.2885,no
title_token,ai_or_technical,14,14,14,5,5,0,0/14,0.0000,0.2153,no
title_token,unspecified_title,1,29,27,10,8,2,2/29,0.0191,0.2196,no
