coder_id,application_id,cycle,company_canonical,company_as_listed,underlying_employer,role_as_listed,role_lane,gtm_modifier,date_applied,date_precision,date_capture,date_evidence_anchor,discovery_source,submission_channel,ats_system,evidence_tier,evidence_class,register,terminal_outcome,terminal_outcome_date,terminal_outcome_precision,location,work_type,level_as_listed,salary_range_listed,confidence,notes
cursor,crypto-com|product-growth-hacker-exchange-main-app|c1,1,Crypto.com,Crypto.com,,Product Growth Hacker: Exchange & Main App,growth_demand_marketing,,2025-08-05,exact,,,unknown,ats_direct,Lever,A,employer_artifact,application,rejected_no_interview,2025-11-02,exact,,unstated,,not_stated,high,Receipt 2025-08-05; 2025-11-02 Lever thank-you/decline of same role merged. Evidence IDs 1987abec68c6f639 and 19a45779c86938f1.
cursor,fullsteam|senior-sales-development-representative|c1,1,Fullsteam,Fullsteam,,Senior Sales Development Representative,sales_bd_partnerships,,2025-09-29,evidence_bound,,2025-09-29,unknown,ats_direct,Workday,B,employer_artifact,application,still_open,,,,unstated,Senior,not_stated,medium,Workday update not a first-receipt. Date is evidence-bound to the update.
cursor,anaconda|senior-bdr|c1,1,Anaconda,Anaconda,,Senior BDR,sales_bd_partnerships,,2025-07-27,exact,,,unknown,ats_direct,Rippling,A,employer_artifact,application,still_open,,,,unstated,Senior,not_stated,high,Rippling receipt 2025-07-27; 2025-08-22 update thread 198d3b3bf3993a49 merged.
cursor,sage|director-of-growth-small|c1,1,Sage,Sage,,"Director of Growth, Small",growth_demand_marketing,,2025-08-04,exact,,,unknown,ats_direct,none_observed,A,employer_artifact,application,still_open,,,,unstated,Director,not_stated,high,careers.sage.com thanks-for-application 2025-08-04; 2025-09-03 update 1990fabad455beb5.
cursor,ava-labs|growth-lead-core|c1,1,Ava Labs,Ava Labs,,"Growth Lead, Core",growth_demand_marketing,,2025-08-04,exact,,,wellfound,wellfound_apply,none_observed,A,employer_artifact,application,still_open,,,,unstated,,not_stated,high,Wellfound submission 19874eb54159ac4e. Employer thanks-for-interest 2025-08-14 198a9f80268b55a5 merged.
cursor,classdojo|unspecified|c1,1,ClassDojo,ClassDojo,,unspecified,unspecified,,2025-08-08,evidence_bound,,2025-08-08,unknown,ats_direct,Gem,B,employer_artifact,application,still_open,,,,unstated,,not_stated,medium,Gem update only. Role omitted.
cursor,proteantecs|sdr|c1,1,proteanTecs,proteanTecs,,SDR,sales_bd_partnerships,,2025-08-08,exact,,,unknown,ats_direct,Comeet,A,employer_artifact,application,still_open,,,,unstated,,not_stated,high,
cursor,beckhoff-automation|sales-engineer|c1,1,Beckhoff Automation,Beckhoff Automation,,Sales Engineer,sales_solutions_engineering,,2025-08-08,exact,,,unknown,ats_direct,none_observed,A,employer_artifact,application,rejected_no_interview,2025-08-08,exact,,unstated,,not_stated,high,Paycom incomplete notice 2025-08-07 then 2025-08-08 rejection thanking him for applying. Submission treated as completed that day.
cursor,seamless-ai|sdr-remote-us|c1,1,Seamless.AI,Seamless.AI,,SDR Remote US,sales_bd_partnerships,,2025-08-05,exact,,,unknown,ats_direct,Greenhouse,A,employer_artifact,application,rejected_no_interview,2025-08-07,exact,,remote,,not_stated,high,Thank you 2025-08-05; status 2025-08-07 1988561b3341f748.
cursor,ambrook|partnerships-lead|c1,1,Ambrook,Ambrook,,Partnerships Lead,sales_bd_partnerships,,2025-08-06,exact,,,unknown,ats_direct,Ashby,A,employer_artifact,application,still_open,,,,unstated,,not_stated,high,Distinct from 2026 Business Operations Lead.
cursor,blackthorn-io|unspecified|c1,1,Blackthorn.io,Blackthorn.io,,unspecified,unspecified,,2025-08-05,exact,,,unknown,ats_direct,Greenhouse,A,employer_artifact,application,still_open,,,,unstated,,not_stated,high,Role omitted on receipt.
cursor,axon|manager-go-to-market-readiness|c1,1,Axon,Axon,,"Manager, Go-to-Market Readiness",revops_gtm_ops_strategy,,2025-08-04,exact,,,unknown,ats_direct,none_observed,A,employer_artifact,application,rejected_no_interview,2025-08-04,exact,,unstated,Manager,not_stated,high,Apply then reviewed same day. Threads 198768a8edd78a10 and 198769522c958870.
cursor,4flow|director-go-to-market-strategy|c1,1,4flow,4flow,,"Director, Go To Market Strategy",revops_gtm_ops_strategy,,2025-08-04,exact,,,unknown,ats_direct,Workday,A,employer_artifact,application,still_open,,,,unstated,Director,not_stated,high,
cursor,itc-infotech|manager-business-development|c1,1,ITC Infotech,ITC Infotech,,"Manager, Business Development",sales_bd_partnerships,,2025-08-04,exact,,,unknown,ats_direct,none_observed,A,employer_artifact,application,still_open,,,,unstated,Manager,not_stated,high,
cursor,fibr-ai|founding-sdr-ae|c1,1,Fibr AI,Fibr AI,,Founding SDR + AE,sales_bd_partnerships,,2025-08-04,exact,,,wellfound,wellfound_apply,none_observed,A,employer_artifact,application,still_open,,,,unstated,Founding,not_stated,high,
cursor,12100-collective|seo-lead|c1,1,12100 Collective,12100 Collective,,SEO Lead,growth_demand_marketing,,2025-08-04,exact,,,wellfound,wellfound_apply,none_observed,A,employer_artifact,application,still_open,,,,unstated,,not_stated,high,
cursor,infisical|founding-growth-marketer|c1,1,Infisical,Infisical,,Founding Growth Marketer,growth_demand_marketing,,2025-08-04,exact,,,wellfound,wellfound_apply,none_observed,A,employer_artifact,application,still_open,,,,unstated,Founding,not_stated,high,
