coder_id,candidate_id,date,company,role,exclusion_reason,what_would_promote_it,evidence_system,evidence_id
bravo,classet-head-of-gtm,2025-07-09,Classet,Head of GTM,unresolvable_identity,A Wellfound successfully-submitted receipt or an employer/ATS thank-you-for-applying. Corpus has only an update/declined message.,gmail,197efe9bab3feb22
bravo,sbga-remote-outside-sales-rep,2025-04-11,SBGA,Remote Outside Sales Rep,out_of_window,A submission or process-start artifact dated 2025-06-01 or later in America/New_York.,gmail,196270d68f2adaad
bravo,yc-wfs-job-profile,2025-07-25,Y Combinator Work at a Startup,unspecified,marketplace_profile,"A titled role submission receipt from a named employer, not a profile-sharing or still-looking notice.",gmail,19841f0e51f91534
bravo,graph-one-unseen-in-ats,2025-07-27,graph.one,unspecified,attempted_not_submitted,"An ATS or employer receipt stating the application was received, contradicting the founder note that no application is in their ATS.",gmail,1984d88bee15d217
bravo,leidos-swe-iii-dover,2025-09-23,Leidos Systems,Software Engineer III REQ16295,unresolvable_identity,"An employer or ATS submission_receipt from a domain matching Leidos, not only dover@mail.beehiiv.com interview/missing-info mail.",gmail,19977d1dfaaa5d09
bravo,meshy-interview-decline,2025-06-01,Meshy,unspecified,unresolvable_identity,A submission_receipt naming Meshy and a role. The 2025-06-01 message declines an interview process and does not prove a in-window submission.,gmail,197294f8d50e00cf
bravo,getcrate-openai-backend-swe,2025-06-21,OpenAI,Backend Software Engineer,unresolvable_identity,An OpenAI-domain or OpenAI ATS receipt. Sender is Jacob@getcrate.app claiming Umicas ATS.,gmail,19794f4f00396b15
bravo,getcrate-google-senior-swe-gemini,2025-06-21,Google,Senior Software Engineer Gemini,unresolvable_identity,A Google-domain or Google ATS receipt. Sender is Jacob@getcrate.app claiming Umicas ATS.,gmail,197934f165cb9c11
bravo,getcrate-crate-software-engineering,2025-06-23,Crate,Software Engineering,unresolvable_identity,A Crate employer/ATS submission_receipt. Corpus only has getcrate.app chasing interview-prep materials.,gmail,1979aae8acdd4534
bravo,gong-gdpr,2025-07-08,Gong.io,unspecified,unresolvable_identity,A dated submission_receipt. GDPR retention notice implies a prior application but does not date or title it.,gmail,197eb3b08adb3220
bravo,spot-ai-gdpr,2025-07-26,Spot AI,unspecified,unresolvable_identity,A dated submission_receipt. GDPR notification only.,gmail,1984894435106b68
bravo,protecht-inmail,2025-07-17,Protecht,unspecified,recruiter_initiated,A candidate submission artifact or a recruiter thank-you-for-applying for a named client role.,gmail,198175521d89f634
bravo,smartmode-ai-interview,2025-07-18,SmartMode AI,unspecified,unresolvable_identity,A submission_receipt. Corpus has Next Steps Begin Your Interview Process only.,gmail,1981dd746a37cc50
bravo,agroknow-thanks-for-time,2025-11-25,Agroknow,North America Sales,unresolvable_identity,"A submission_receipt. Artifact is thank you for your time and interest, not application-received language.",gmail,19aba7c991e83d06
bravo,dover-swe-manager-banking,2025-12-12,Rippling,"Software Engineering Manager, Banking",unresolvable_identity,An employer/ATS submission_receipt from Rippling or the true employer. dover@mail.beehiiv.com interview invitation names Rippling in one subject and a banking engineering role; sender identity unverified.,gmail,19b146233d7f7833
bravo,saveurdays-unnamed,2026-04-11,,unspecified,unresolvable_identity,A message that names company and role. meghan.simonis@saveurdays.com thank you for applying names neither.,gmail,19d7da158589ce88
bravo,celonis-retention,2026-04-02,Celonis,unspecified,unresolvable_identity,A dated submission_receipt. Artifact is a Greenhouse notification about application data retention.,gmail,19d4f2cd06b07502
bravo,new-relic-retention,2026-03-28,New Relic,unspecified,unresolvable_identity,A dated submission_receipt. Artifact is a data-retention consent request.,gmail,19d35a3c32b6d6a4
bravo,gwinnett-started-expired,2026-06-08,Gwinnett County Public Schools,unspecified,attempted_not_submitted,"An AppliTrack submission confirmation equivalent to Decatur/Douglas/APS, not only Application Started plus expiry warning.",gmail,19ea5b7862cb3792
bravo,dekalb-general-expired,2026-06-27,DeKalb County School District,unspecified,attempted_not_submitted,An AppliTrack submission confirmation for the general application (distinct from the position-filled STAR Substitute notices).,gmail,19f08288af47b3df
bravo,luzmo-sdr-jobright-outreach,2026-06-30,Luzmo,SDR,recruiter_initiated,A submission_receipt. Corpus is a three-message Jobright recruiter sequence with no application evidence.,gmail,19f18abcd6c662a8
bravo,dexian-outbound-sales-consultant-iii,2026-06-05,Dexian,Outbound Sales Consultant III (Remote),recruiter_initiated,A thank-you-for-applying or ATS receipt naming the client employer. This is agency outreach. Same title as WilsonHCG Feb 2026 but no shared employer name so not merged into that row.,gmail,19e9805d2feb7656
bravo,anyint-linkedin-inmail,2026-06-09,,unspecified,unresolvable_identity,"A named company, role, and submission_receipt. InMail says recruiter references an application through LinkedIn; company not named in the log row.",gmail,19eac30589bfe8b9
bravo,greenhouse-gtm-engineer-unnamed-employer,2026-07-12,,GTM Engineer,unresolvable_identity,A Greenhouse receipt whose subject or snippet names the employer.,gmail,19f586b7fbc50265
bravo,jobmail-growth-lead-stealth,2026-07-07,,Growth Lead,unresolvable_identity,A named employer. interviews@jobmail.io receipt and later decline after steps through Jack; company described as stealth and unnamed.,gmail,19f3ec27ee050c8d
bravo,talentpluto-gtm-engineer-duplicate-title,2026-07-12,talentpluto,GTM Engineer,unresolvable_identity,Evidence the Workable GTM Engineer copy is a second req rather than a duplicate of Go-to-Market Engineer three minutes earlier. Currently merged into talentpluto|go-to-market-engineer|c1.,gmail,19f5862ce3bd83b7
bravo,common-room-meeting,2026-05-28,Common Room,unspecified,unresolvable_identity,An artifact stating the meeting was a job interview or application. ChiliPiper reminder cc matthewrocha@commonroom.io does not state purpose.,gmail,19e702c268104fe7
