coder_id,application_id,cycle,company_canonical,company_as_listed,underlying_employer,role_as_listed,role_lane,gtm_modifier,date_applied,date_precision,date_capture,date_evidence_anchor,discovery_source,submission_channel,ats_system,evidence_tier,evidence_class,register,terminal_outcome,terminal_outcome_date,terminal_outcome_precision,location,work_type,level_as_listed,salary_range_listed,confidence,notes
alpha,crypto-com|product-growth-hacker-exchange-and-main-app|c1,1,Crypto.com,Crypto.com,,Product Growth Hacker: Exchange & Main App,growth_demand_marketing,,2025-08-05,exact,,,unknown,ats_direct,Lever,A,employer_artifact,application,rejected_no_interview,2025-11-02,exact,,unstated,,not_stated,high,"Merged Lever receipt gth_2cbb1ee26d2137ac (2025-08-05, role in snippet) with later Lever thread gth_a5db72a965bb0178 (2025-11-02, subject Thank you for applying; log lists declined). Same company and titled role; no intervening new-cycle receipt after a terminal."
alpha,fullsteam|senior-sales-development-representative|c1,1,Fullsteam,Fullsteam,,Senior Sales Development Representative,sales_bd_partnerships,,2025-09-29,evidence_bound,,2025-09-29,unknown,ats_direct,Workday,B,employer_artifact,application,still_open,,,,unstated,Senior,not_stated,medium,"Workday subject is Update on Job Application, not a submission receipt. Submission dated only as on or before 2025-09-29. No later outcome in corpus."
alpha,sage|director-of-growth-small|c1,1,Sage,Sage,,"Director of Growth, Small",growth_demand_marketing,,2025-08-04,exact,,,unknown,ats_direct,none_observed,A,employer_artifact,application,still_open,,,,unstated,Director,not_stated,high,"Merged careers@careers.sage.com receipt gth_677cf91c6d68ffaa (subject Thanks for your application for, role omitted) with gth_d24517830e4ccefb Update on Director of Growth, Small role. Role taken from the later named update, not inferred from Sage's typical openings."
alpha,anaconda|senior-bdr|c1,1,Anaconda,Anaconda,,Senior BDR,sales_bd_partnerships,,2025-07-27,exact,,,unknown,ats_direct,Rippling,A,employer_artifact,application,still_open,,,,unstated,Senior,not_stated,high,Merged Rippling receipt gth_cd513ab76e1d81dd with later update gth_ef44ed80a3ab9ffd.
alpha,ava-labs|growth-lead-core|c1,1,Ava Labs,Ava Labs,,"Growth Lead, Core",growth_demand_marketing,,2025-08-04,exact,,,wellfound,wellfound_apply,none_observed,A,platform_log,application,still_open,,,,unstated,,not_stated,high,Wellfound successfully-submitted receipt gth_f05b94b3d373f04c merged with employer interest mail gth_2ef1129d4affda0a.
alpha,proteantecs|sdr|c1,1,proteanTecs,proteanTecs,,SDR,sales_bd_partnerships,,2025-08-08,exact,,,unknown,ats_direct,Comeet,A,employer_artifact,application,still_open,,,,unstated,,not_stated,high,
alpha,beckhoff-automation|sales-engineer|c1,1,Beckhoff Automation,Beckhoff Automation,,Sales Engineer,sales_solutions_engineering,,2025-08-08,evidence_bound,,2025-08-08,unknown,ats_direct,none_observed,B,employer_artifact,application,rejected_no_interview,2025-08-08,exact,,unstated,,not_stated,medium,"Paycom gth_c4c43ebac6543f68 on 2025-08-07 says application not fully completed; password-setup gth_fd281859ddfb644d names Sales Engineer on 2025-08-04; gth_7af99df6c0ed420a on 2025-08-08 is Application Status Update declined and thanks him for applying. Submission treated as completed by 2025-08-08 from the decline language, not from the incomplete notice."
alpha,seamless-ai|sdr-remote-us|c1,1,Seamless.AI,Seamless.AI,,SDR Remote US,sales_bd_partnerships,,2025-08-05,exact,,,unknown,ats_direct,Greenhouse,A,employer_artifact,application,still_open,,,Remote US,remote,,not_stated,high,Merged Greenhouse apply-thanks gth_ab6b5f0fdbb449ec with status gth_85e6fb438cf83c14.
alpha,ambrook|partnerships-lead|c1,1,Ambrook,Ambrook,,Partnerships Lead,sales_bd_partnerships,,2025-08-06,exact,,,unknown,ats_direct,Ashby,A,employer_artifact,application,still_open,,,,unstated,Lead,not_stated,high,
alpha,blackthorn-io|unspecified|c1,1,Blackthorn.io,Blackthorn.io,,unspecified,unspecified,,2025-08-05,exact,,,unknown,ats_direct,Greenhouse,A,employer_artifact,application,still_open,,,,unstated,,not_stated,medium,Greenhouse thank-you names company only.
