Origin/Source,Company,Role/Title,Role Lane,Role Title Resolution,Date of first contact or application,Current/Final Status,Interview Count,Thread/Dedup Key,Notes/Uncertainty
LinkedIn application,Block+Tackle,Forward Deployed Marketing Engineer,"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence,2026-08-22,APPLIED,UNKNOWN,Block+Tackle + Forward Deployed Marketing Engineer + 2026-08-22,LinkedIn application export; job ID 4439438328; http://www.linkedin.com/jobs/view/4439438328
LinkedIn application → downstream confirmation: ATS: Workable,Uncapped,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-08-22,REJECTED,UNKNOWN,Uncapped + GTM Engineer + 2026-08-22,— LinkedIn Easy Apply/export record: job ID 4453144912; application date 2026-08-22; http://www.linkedin.com/jobs/view/4453144912
Mercor matching outbound,Mercor,Growth Strategist,"Growth, Demand Generation & Marketing",Exact title present in source evidence,2026-08-20,OFFER,UNKNOWN,Mercor + Growth Strategist + 2026-08-20,Instant offer; email explicitly says no direct application.
Mercor platform application,Mercor,B2B Sales Expert,"Account Executive, Sales & Sales Leadership",Exact title present in source evidence,2026-08-18,REJECTED,UNKNOWN,Mercor + B2B Sales Expert + 2026-08-18,—
Mercor platform application,Mercor,Sales and Marketing Expert,"Growth, Demand Generation & Marketing",Exact title present in source evidence,2026-08-18,APPLIED,UNKNOWN,Mercor + Sales and Marketing Expert + 2026-08-18,No outcome yet; only 12 days elapsed.
Mercor platform application,Mercor,Sales Engineering Expert,"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence,2026-08-18,REJECTED,UNKNOWN,Mercor + Sales Engineering Expert + 2026-08-18,—
Recruiter outbound: per_1f519190ee3e / Mercor,Mercor,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-08-14,OFFER,3,Mercor + GTM Engineer + 2026-08-14,"Three completed hiring interviews: two with Claire and one with per_05a7483690d2, followed by a secured contract. Identity caveat: the prior workbook named the second contact per_4e0b61346d3a; retain this discrepancy for final contact verification. Later working meetings are not counted as hiring interviews."
LinkedIn recruiter/person outbound: per_c0757b6d3dd8 / UNKNOWN — Fortune 500 client,UNKNOWN — Fortune 500 client,"Outbound Sales Consultant III (hybrid, Atlanta)","Account Executive, Sales & Sales Leadership",Exact title present in source evidence,2026-08-13,SCREENING,UNKNOWN,"UNKNOWN — Fortune 500 client + Outbound Sales Consultant III (hybrid, Atlanta) + 2026-08-13","LinkedIn thread with per_c0757b6d3dd8 (Recruiter (agency, WilsonHCG)); source stage: Ongoing; confidence: High. Geneve re-approached with a new hybrid Atlanta role for the same Fortune 500 client and attached the JD. Thread originally started 02/26/2025 (pre-range) with a remote 4-month contract version of the same role — flagged per your date rule. No reply yet to the August touch. WilsonHCG Avature link shared. Fresh at time of export."
Recruiter outbound: per_713645ae8d9b / Weave,Weave,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-08-11,REJECTED,UNKNOWN,Weave + GTM Engineer + 2026-08-11,Kevin Ahn initiated personalized outreach on 2026-08-11. Calendar confirms an accepted intro call on 2026-08-17; the rejection on 2026-08-18 indicates at least 1 completed interview. Exact interview count remains UNKNOWN.
ATS: Hirebridge,Tripleseat,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-08-06,GHOSTED,UNKNOWN,Tripleseat + GTM Engineer + 2026-08-06,"GHOSTED clock note: the 2026-08-23 LinkedIn freshness endpoint was only 17 days after application, so the row was premature at export. At the 2026-08-30 checkpoint it is 24 days old and meets the current 21+ day residual rule if no later activity exists."
LinkedIn recruiter/person outbound: per_e3d6df446d72 / Azul,Azul,"Marketing AI Specialist (100% remote, 4-month contract)","Growth, Demand Generation & Marketing",Exact title present in source evidence,2026-07-28,GHOSTED,UNKNOWN,"Azul + Marketing AI Specialist (100% remote, 4-month contract) + 2026-07-28",LinkedIn thread with per_e3d6df446d72 (Recruiter (agency)); source stage: Ghosted; confidence: High. Contract pitch bridging marketing and AI. Not replied to. 4-month contract.
LinkedIn recruiter/person outbound: per_fc6fb77178ce / Global Financial Impact,Global Financial Impact,"Business Development Representative (1099, remote)",Sales Development & Business Development,Exact title present in source evidence,2026-07-28,GHOSTED,UNKNOWN,"Global Financial Impact + Business Development Representative (1099, remote) + 2026-07-28",LinkedIn thread with per_fc6fb77178ce (Recruiter (internal)); source stage: Ghosted; confidence: Medium. Financial-services 1099 BDR pitch with 'full training & support.' Not replied to. 1099 independent contractor; insurance-adjacent.
LinkedIn recruiter/person outbound: per_8e49f9ce8090 / UNKNOWN — construction/fabrication SaaS,UNKNOWN — construction/fabrication SaaS,Senior Revenue Operations Engineer,Revenue & GTM Operations,Exact title present in source evidence,2026-07-28,SCREENING,UNKNOWN,UNKNOWN — construction/fabrication SaaS + Senior Revenue Operations Engineer + 2026-07-28,"LinkedIn thread with per_8e49f9ce8090 (agency recruiter); source stage Ongoing, confidence High. Agency pitch for a hands-on, AI-oriented Senior Revenue Operations Engineer. You replied 2026-08-04 and Zoom logistics were underway at export. Reclassified from GHOSTED to SCREENING on 2026-08-30 because the record showed an active scheduling process, not silence. Attendance remains unproven; Interview Count stays UNKNOWN."
LinkedIn application,Doomers AI,Founding GTM,Founding GTM,Exact title present in source evidence,2026-07-26,GHOSTED,UNKNOWN,Doomers AI + Founding GTM + 2026-07-26,LinkedIn application export; job ID 4444837068; http://www.linkedin.com/jobs/view/4444837068
LinkedIn application,Fractional Demand,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-07-26,GHOSTED,UNKNOWN,Fractional Demand + GTM Engineer + 2026-07-26,LinkedIn application export; job ID 4444497996; http://www.linkedin.com/jobs/view/4444497996
LinkedIn application,Ailytics,Revenue Operations (RevOps) Specialist,Revenue & GTM Operations,Exact title present in source evidence,2026-07-22,GHOSTED,UNKNOWN,Ailytics + Revenue Operations (RevOps) Specialist + 2026-07-22,LinkedIn application export; job ID 4438496260; http://www.linkedin.com/jobs/view/4438496260
LinkedIn recruiter/person outbound: per_400754f4c012 / Claudomat,Claudomat,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-07-22,GHOSTED,UNKNOWN,Claudomat + GTM Engineer + 2026-07-22,"LinkedIn thread with per_400754f4c012 (Recruiter (internal)); source stage: Ghosted; confidence: High. Pitched a GTM Engineer role at Claudomat (AI platform automating engineering/marketing/sales/finance). You replied instantly ('4 sure whats up?'); she sent the JD, platform link, and proposed a Google Meet the next day — you never responded, and her check-in the next day also went unanswered. You ghosted this one. claudomat.dev."
ATS: Greenhouse,Hightouch,Go-to-Market Engineer,GTM Engineering,Exact title present in source evidence,2026-07-22,REJECTED,UNKNOWN,Hightouch + Go-to-Market Engineer + 2026-07-22,Rejected 2026-07-24.
ATS: Ashby,Owner.com,Product Builder - GTM Product,"Product, Technical & AI",Exact title present in source evidence,2026-07-22,GHOSTED,UNKNOWN,Owner.com + Product Builder - GTM Product + 2026-07-22,21+ days after last Step 1 activity.
ATS: Teamtailor,RevPartners,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-07-22,REJECTED,UNKNOWN,RevPartners + GTM Engineer + 2026-07-22,Rejected 2026-07-27; separate later application.
Referral via per_ce14568b65c6 / Mercor,Cincinnatus via Mercor,Biology & Biophysics Research Collaborator (Part-time),"Research, Education, Freelance & Other",Exact title present in source evidence,2026-07-20,REJECTED,UNKNOWN,Cincinnatus via Mercor + Biology & Biophysics Research Collaborator (Part-time) + 2026-07-20,Referral and application documented.
ATS: Ashby,LiveKit,GTM Systems Engineer,"GTM Strategy, Leadership & Generalist",Exact title present in source evidence,2026-07-20,REJECTED,UNKNOWN,LiveKit + GTM Systems Engineer + 2026-07-20,—
ATS: Ashby,Clutch,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-07-19,REJECTED,UNKNOWN,Clutch + GTM Engineer + 2026-07-19,—
LinkedIn application,Elios AI,Senior Forward Deployed Engineer,"Solutions, Sales & Forward-Deployed Engineering",Exact title present in source evidence,2026-07-18,GHOSTED,UNKNOWN,Elios AI + Senior Forward Deployed Engineer + 2026-07-18,LinkedIn application export; job ID 4436839048; http://www.linkedin.com/jobs/view/4436839048
Community origins — Clay Café (now per_66bf50b3ebda / gtmcafe.com) #jobsandopportunities → ATS: Ashby,Great Question,Senior Demand Generation Manager,"Growth, Demand Generation & Marketing",Exact title present in source evidence,2026-07-17,REJECTED,1,Great Question + Senior Demand Generation Manager + 2026-07-17,One completed interview with Harry Thomas; later rejected. [User reconciliation 2026-08-30] Opportunity originated in per_66bf50b3ebda #jobsandopportunities.
ATS: Ashby,Hyperbound,Founding RevOps Lead,Revenue & GTM Operations,Exact title present in source evidence,2026-07-17,REJECTED,UNKNOWN,Hyperbound + Founding RevOps Lead + 2026-07-17,Earliest documented email is rejection; application date unknown.
ATS: Greenhouse,Attentive,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-07-15,GHOSTED,UNKNOWN,Attentive + GTM Engineer + 2026-07-15,Possible reapplication; separate receipt.
ATS: Greenhouse,Axiad,GTM Engineer,GTM Engineering,Resolved from same-period job evidence; original ATS receipt omitted the title,2026-07-15,GHOSTED,UNKNOWN,Axiad + GTM Engineer + 2026-07-15,Role unresolved. Evidence amendment accepted 2026-08-30: Same-period Axiad job evidence identifies the opening as GTM Engineer.
ATS: Greenhouse,BrightHire,Founding GTM Engineer,Founding GTM,Resolved from a contemporaneous public listing; original ATS receipt omitted the title,2026-07-15,GHOSTED,UNKNOWN,BrightHire + Founding GTM Engineer + 2026-07-15,Role unresolved. Evidence amendment accepted 2026-08-30: BrightHire's contemporaneous listing identifies the opening as Founding GTM Engineer.
ATS: Greenhouse,GatherUp,Growth Engineer (GTM / Go-To-Market Engineer),GTM Engineering,Resolved from contemporaneous Greenhouse/LinkedIn job evidence,2026-07-15,GHOSTED,UNKNOWN,GatherUp + Growth Engineer (GTM / Go-To-Market Engineer) + 2026-07-15,Role unresolved. Evidence amendment accepted 2026-08-30: Contemporaneous GatherUp job evidence identifies the opening as Growth Engineer (GTM / Go-To-Market Engineer).
ATS: Ashby,Handshake,GTM Engineer,GTM Engineering,Exact title present in source evidence,2026-07-15,GHOSTED,UNKNOWN,Handshake + GTM Engineer + 2026-07-15,21+ days after last Step 1 activity.
